Label,A_Burst_Duration,A_Burst_Rate,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_Skew_Ratio,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Retran_intervals,A_Silence_Avg_Duration,A_Silence_Count,A_Silence_Max_Duration,A_Silence_Rate,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Assoc_Time_Ratio,Dst_One_Count,Dst_One_Exist,First_Stage_Time_Diff,First_Stage_Time_Diff_Ratio,Gap_23_Time,Gap_23_Time_Ratio,Gap_34_Time,Gap_34_Time_Ratio,Gap_45_Time,Gap_45_Time_Ratio,Next_Packet_After_First_Stage,Probe_Time,Probe_Time_Ratio,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_6_Time_Ratio,Type_Sequence,Type_Sequence_In_Range,excess,lack,Range_1,Range_2,Range_1_2,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5
HONOR-70_1,0.005481004714965803,0.6363636363636364,0.9165266832456586,0.0037897229194641465,0.0033534765243530508,7.581710815470106e-06,0.006939625740051248,0.008629310131072973,0.0010967850685119252,0.004886507987976072,1.0693825317265442,0.00324836430782993,-0.14315427419971183,0.0035442113876342695,0.0025571823120117193,0.010318994522094702,1,0.010318994522094702,0.1,0.010318994522094702,0.7719855525133675,0.0065641403198242,0.18520735932191973,0,0,0.0354421138763427,1.0,0.0010600090026855,0.02990817665063276,0.0035059452056884995,0.09892031885910416,0.0065641403198242,0.18520735932191973,0,0.0012121200561523,0.03419999327301353,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,2,0.0012071132659912,0.0012121200561523,2,0.0022721290588378,0.0022799968719482,1,0.0057859420776367,0.0057859420776367,1,0.0123500823974609,0.0123500823974609,4,0.0226690769195556,0.0354421138763427,0.012773036956787095,0.3603915105445498,"1,2,2,3,3,4,5,6,6,6,6",,"[(2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0034220218658447,0.5,1.1629822802038678,0.0025109052658081623,0.0018219947814941996,7.152557373100001e-06,0.0068981647491455,0.0094600915908813,0.0010420083999633368,0.003552913665771499,2.786050772049075,0.003570767832867,1.640653838678463,0.003070354461669918,0.003189166386922204,0.0120220184326171,1,0.0120220184326171,0.09090909090909091,0.0120220184326171,1.5950237008659027,0.0068981647491455,0.20424543619139054,0,0,0.0337738990783691,1.0,0.0010261535644531003,0.03038303519744668,0.0025038719177246003,0.07413630010306495,0.0068981647491455,0.20424543619139054,5.782779932022095,0.0023958683013916,0.07093845741151227,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0.0,4.0531158447265625e-06,3,0.0010619163513183,0.0023958683013916,1,0.0034220218658447,0.0034220218658447,1,0.0059258937835693,0.0059258937835693,1,0.0128240585327148,0.0128240585327148,4,0.0159769058227539,0.0337738990783691,0.0177969932556152,0.5269451778226429,"1,1,2,2,2,3,4,5,6,6,6,6","2,2,2,2,2","[(1, 1, 2), (2, 2, 2, 3)]",(),0,5,0,0,0,0,0,0,0
HONOR-70_1,0.0024030208587645994,0.6153846153846154,1.5462247711108223,0.0034293532371521287,0.001425981521606372,8.201599121097805e-06,0.007772755622863751,0.012345123291015623,2.0325183868449565e-05,0.003449678421020578,4.450810901187359,0.005027416101446051,3.321207676501297,0.003251413504282633,0.0014067036764962358,0.0173590183258057,1,0.0173590183258057,0.08333333333333333,0.0173590183258057,2.0722242407788847,0.008266925811767599,0.21188030479868553,0,0,0.0390169620513916,1.0,0.0011069774627684998,0.028371697963322538,0.0024530887603760004,0.06287236707832067,0.0082428455352783,0.21126313023605345,5.62737512588501,0.0012710094451904,0.03257581775629472,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,8.106231689453125e-06,0.0012710094451904,2,0.0023779869079589,0.0023789405822753,2,0.0048320293426513,0.0048561096191406,1,0.0130989551544189,0.0130989551544189,4,0.0304579734802246,0.0390169620513916,0.008558988571167003,0.21936583786029884,"1,2,2,2,3,3,4,4,5,6,6,6,6","2,2,2,2,2,2","[(2, 2, 2, 3), (3, 3, 4), (4, 4, 5)]",(),0,6,0,0,0,0,0,0,0
HONOR-70_1,0.0047380924224852995,0.6153846153846154,1.0032703419604918,0.0025478005409240497,0.0019888877868652005,9.059906005809957e-06,0.00673921108245854,0.007253038883209218,0.0009224414825440002,0.0034702420234680497,2.3884320306881643,0.0027211994728064235,-0.7018748857380497,0.002712329228719075,0.00278496742248538,0.007809162139892498,1,0.007809162139892498,0.08333333333333333,0.007809162139892498,0.8417830277455498,0.0067980289459229,0.20886196489788897,0,0,0.0325479507446289,1.0,-0.0012290477752686002,-0.037761141551174895,0.0022268295288086003,0.06841688886284412,0.0067980289459229,0.20886196489788897,5.719035863876343,0.0030069351196289,0.09238477541094067,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0.0,0.0,3,0.0017688274383544,0.0030069351196289,2,0.0017778873443603,0.0030159950256347,1,0.0052428245544433,0.0052428245544433,1,0.0120408535003662,0.0120408535003662,5,0.0198500156402587,0.0325479507446289,0.0126979351043702,0.39013009464092385,"1,2,3,2,2,3,4,5,6,6,6,6,6","2,2,2","[(3, 2, 2, 3, 4)]",(),0,3,0,0,0,0,0,0,0
HONOR-70_1,0.005547761917114201,0.6363636363636364,0.957353834106481,0.0028871893882751972,0.0021864175796508503,0.0006330728530883734,0.0069053173065185686,0.008670210838317882,0.0012934803962707255,0.004180669784545923,2.1582792650346696,0.0031607962034518977,0.5771159760944529,0.00330159664154052,0.0036423683166503735,0.010435104370117201,1,0.010435104370117201,0.1,0.010435104370117201,1.212010980030081,0.0065131187438965,0.1972717885022287,0,0,0.0330159664154052,1.0,0.0016491413116454998,0.0499498118848344,0.002357006072998,0.07138988583106338,0.0065131187438965,0.1972717885022287,5.773015022277832,0.0011799335479736,0.03573827078473901,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,2,5.0067901611328125e-06,0.0011799335479736,2,0.0028290748596191,0.0035319328308105,1,0.0058889389038085,0.0058889389038085,1,0.012402057647705,0.012402057647705,4,0.0166819095611572,0.0330159664154052,0.016334056854248,0.4947320532355083,"1,2,2,3,3,4,5,6,6,6,6","2,2","[(2, 2, 3), (3, 3, 4)]",(),0,2,0,0,0,0,0,0,0
HONOR-70_1,0.004057884216308598,0.6363636363636364,1.047909236379009,0.004330933094024724,0.00178349018096925,8.654594421419917e-06,0.008166718482971139,0.009034359455108618,0.0011476874351500996,0.005478620529174824,3.5790655704831966,0.0034859819396374295,-0.7398274993923333,0.0033266067504882798,0.003460597991943359,0.0099020004272461,1,0.0099020004272461,0.1,0.0099020004272461,0.8506697091646359,0.007973909378051699,0.2397009919155995,0,0,0.0332660675048828,1.0,0.0011379718780517001,0.034208187603920075,0.0017290115356445998,0.0519752307780538,0.007973909378051699,0.2397009919155995,0,0.0018470287322998,0.05552290579668585,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,2,0.0018379688262939,0.0018470287322998,2,0.0029850006103515,0.0029900074005126,1,0.0047190189361572,0.0047190189361572,1,0.0126929283142089,0.0126929283142089,4,0.015977144241333,0.0332660675048828,0.017288923263549798,0.5197164726793189,"1,2,2,3,3,4,5,6,6,6,6",,"[(2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0022623538970946554,0.7222222222222222,1.5769899989208986,0.0017638206481934995,0.001241922378539947,8.678436279261226e-06,0.00614981651306154,0.008380985260009794,9.059906005800394e-06,0.0017728805541992998,3.951852562872333,0.0038339501731947776,4.934233661358708,0.0024311823003432295,0.0014905712821266766,0.015020847320556602,1,0.015020847320556602,0.058823529411764705,0.015020847320556602,2.312296712586579,0.006730079650878899,0.1628372492803619,0,0,0.0413300991058349,1.0,0.0014019012451172,0.033919619731066226,-9.059906005800394e-06,-0.00021920842683199217,0.006730079650878899,0.1628372492803619,0,0.0012590885162353,0.030464202687032618,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0.0,0.0,3,8.106231689453125e-06,0.0012590885162353,6,0.0026609897613525,0.0054590702056884,1,0.0054500102996826,0.0054500102996826,1,0.0121800899505615,0.0121800899505615,6,0.0272009372711181,0.0413300991058349,0.014129161834716797,0.3418613102895287,"1,2,2,2,3,3,3,3,3,4,3,5,6,6,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 4), (4, 3, 5)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0038619041442870005,0.6153846153846154,1.4962671291385359,0.003086626529693599,0.001872062683105444,9.25064086909034e-06,0.006250119209289569,0.011836218833923327,0.0008013248443603752,0.003887951374053974,2.3386271013755,0.005094157511292317,4.4540172895778065,0.003404577573140458,0.0018141269683837836,0.018362045288085903,1,0.018362045288085903,0.08333333333333333,0.018362045288085903,2.3161311376354528,0.006505966186523399,0.15924555608725519,0,0,0.0408549308776855,1.0,0.0011510848999023,0.028174932013677927,0.0021440982818603997,0.052480771250832836,0.006496906280517599,0.159023798130231,0,0.0016369819641113,0.040068161393106184,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,1.9073486328125e-06,0.0016369819641113,2,0.0027880668640136,0.0038528442382812,2,0.0059969425201416,0.0060060024261474,1,0.012502908706665,0.012502908706665,4,0.0308649539947509,0.0408549308776855,0.009989976882934598,0.24452316203503874,"1,2,2,2,3,3,4,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 4), (4, 4, 5)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.001204729080200362,0.7692307692307693,1.1684330528464246,0.005864620208740163,0.0011769533157348715,2.622604370117189e-06,0.0067492961883545,0.0074129700660705575,7.62939453128643e-06,0.00587224960327145,4.734548769370979,0.0031786234953977825,-1.3148201969351694,0.0027204155921936,0.00300817489624026,0.008195161819457997,1,0.008195161819457997,0.08333333333333333,0.008195161819457997,0.6049586238650491,0.0067808628082276,0.20771528523330843,0,0,0.0326449871063232,1.0,-0.0012428760528564405,-0.038072493299153444,0.0030801296234129996,0.09435230019791893,0.0067729949951172,0.20747427386195225,0,0.0012519359588623,0.03835002154495583,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,6.9141387939453125e-06,0.0012519359588623,2,9.059906005859377e-06,0.0012528896331787,2,0.0043330192565917,0.0043408870697021,1,0.0111138820648193,0.0111138820648193,4,0.0176498889923095,0.0326449871063232,0.0149950981140137,0.45933846030250725,"1,2,3,2,2,3,4,4,5,6,6,6,6",,"[(3, 2, 2, 3, 4), (4, 4, 5)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0010409355163573458,0.6666666666666666,1.891605124022081,0.0020489692687989027,0.0010819435119628997,2.813339233419905e-06,0.005773067474365221,0.00965485572814939,5.006790161099853e-06,0.0020539760589600026,4.335830762450361,0.005087528479014596,7.881177673625951,0.0026895298677332238,0.001028756300608313,0.020861864089965803,1,0.020861864089965803,0.058823529411764705,0.020861864089965803,2.9053270015748547,0.006853103637695299,0.14988632334230215,0,0,0.0457220077514648,1.0,0.0018939971923828001,0.04142419122708193,0.0037610530853271996,0.08225914106334725,0.006853103637695299,0.14988632334230215,0,0.0011489391326904,0.025128798781886195,0,1,0,0,0,0,0,2,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,6.9141387939453125e-06,0.0011489391326904,8,0.0030429363250732,0.0051548480987548,1,0.008915901184082,0.008915901184082,1,0.0157690048217773,0.0157690048217773,4,0.0366308689117431,0.0457220077514648,0.0090911388397217,0.1988350749848785,"1,2,2,2,3,3,3,3,3,3,3,3,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 3, 3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
