Time,Dst,Type
0.0,0,1
2.3126602172851562e-05,0,2
0.001026153564453125,0,2
0.0010471343994140625,0,2
0.00484919548034668,0,3
0.0048770904541015625,0,3
0.014405012130737305,0,5
0.01863718032836914,0,6
0.04982304573059082,0,6
0.05133414268493652,0,6
0.05687904357910156,0,6
10.589962005615234,1,1
10.589993000030518,0,2
10.591089010238647,0,2
10.592271089553833,0,2
10.610462188720703,1,1
10.610478162765503,0,2
10.61266803741455,0,2
20.6495201587677,1,1
20.649550199508667,0,2
20.650614023208618,0,2
20.65063214302063,0,2
20.66671109199524,1,1
