Time,Dst,Type
0.0,0,1
7.152557373046875e-06,0,2
0.0008809566497802734,0,3
0.0009009838104248047,0,3
0.0009059906005859375,0,3
0.0009100437164306641,0,3
0.0009150505065917969,0,3
0.0009191036224365234,0,3
0.0021209716796875,0,2
0.0021491050720214844,0,2
0.0021560192108154297,0,3
0.004737138748168945,0,4
0.013414144515991211,0,5
0.022344112396240234,0,6
0.03313612937927246,0,6
0.03447103500366211,0,6
0.03784799575805664,0,6
1.2502310276031494,1,1
1.2502620220184326,0,2
1.2512280941009521,0,2
1.2512550354003906,0,2
