Time,Dst,Type
0.0,0,1
2.6941299438476562e-05,0,2
0.00096893310546875,0,2
0.0009958744049072266,0,2
0.002908945083618164,0,3
0.0029458999633789062,0,3
0.00515294075012207,0,4
0.011907815933227539,0,5
0.03064584732055664,0,6
0.03437995910644531,0,6
0.036502838134765625,0,6
0.03998398780822754,0,6
5.7158379554748535,1,1
5.71586799621582,0,2
5.716691970825195,0,2
5.7167088985443115,0,2
5.736004829406738,1,1
5.7360358238220215,0,2
5.737512826919556,0,2
5.73754096031189,0,2
15.781505823135376,1,1
15.78250789642334,0,2
15.783880949020386,0,2
15.801322937011719,1,1
15.801353931427002,0,2
15.802229881286621,0,2
15.802260875701904,0,2
