Time,Dst,Type
0.0,0,1
0.0008940696716308594,0,3
0.005945920944213867,0,2
0.0059740543365478516,0,2
0.007089138031005859,0,2
0.007117033004760742,0,3
0.00958704948425293,0,4
0.015635967254638672,0,5
0.03074812889099121,0,6
0.04053497314453125,0,6
0.042263031005859375,0,6
0.04561495780944824,0,6
0.3803269863128662,1,1
0.3803391456604004,0,2
0.38155603408813477,0,2
0.38310813903808594,0,2
1.8367879390716553,1,1
1.8368029594421387,0,2
1.8378019332885742,0,2
1.8387739658355713,0,2
11.880990028381348,1,1
11.881020069122314,0,2
11.88184404373169,0,2
11.881860971450806,0,2
