Feature_Name,Importance_Score
Next_Packet_After_First_Stage,0.14172663694204832
First_Stage_Time_Diff,0.08931218223815242
Gap_23_Time,0.084389694401965
Gap_23_Time_Ratio,0.07089628606996792
Type_3_Last_Time,0.06920010960423245
A_IAT_StdDev,0.06364586510223935
Type_6_Time_Ratio,0.05367040232633628
Range_1,0.04580252727730922
A_Silence_Max_Duration,0.04469300316651447
A_Silence_Avg_Duration,0.042552749980490266
Range_2,0.04132568801037879
A_Silence_Total_Duration,0.04005742994903381
Gap_34_Time,0.038486566230221265
Gap_34_Time_Ratio,0.0340776124697218
Range_1_2,0.029850717296190814
Probe_Time_Ratio,0.024748071928782138
A_Kurtosis,0.02313655275243504
A_CV,0.022621721947086306
A_Skewness,0.020240436847200317
A_IAT_Skew_Ratio,0.01956574545969388
