Time,Dst,Type
0.0,0,3
0.0033948421478271484,0,4
0.01112985610961914,0,5
0.014758825302124023,0,6
0.02427983283996582,0,6
0.025554895401000977,0,6
4.137664794921875,1,1
4.137695789337158,1,1
4.137701988220215,0,2
4.140162944793701,0,2
4.141425848007202,0,2
4.1414430141448975,0,2
9.831477880477905,1,1
9.833858966827393,0,2
9.833886861801147,0,2
9.834543943405151,0,2
9.836068868637085,0,2
9.836097002029419,0,2
9.83693790435791,0,2
20.56014084815979,1,1
20.560165882110596,1,1
20.56017279624939,0,2
20.561227798461914,0,2
20.56221890449524,0,2
20.563370943069458,0,2
20.56337881088257,0,2
20.56450080871582,0,2
