Time,Dst,Type
0.0,0,1
2.09808349609375e-05,0,2
0.0011260509490966797,0,2
0.0011529922485351562,0,3
0.0024008750915527344,0,3
0.003309965133666992,0,4
0.010915040969848633,0,5
0.02187490463256836,0,6
0.02455592155456543,0,6
0.026047945022583008,0,6
0.030891895294189453,0,6
10.635242938995361,1,1
10.636658906936646,0,2
10.636689901351929,0,2
10.637272834777832,0,2
10.655356884002686,1,1
10.656585931777954,0,2
10.656616926193237,0,2
20.473151922225952,1,1
20.474706888198853,0,2
20.47592782974243,0,2
20.493085861206055,1,1
20.49310302734375,0,2
20.49412989616394,0,2
20.49548101425171,0,2
