Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,A_Mean_IAT,Type_6_Time_Ratio,A_IAT_P95,Type_6_Last_Time,Gap_34_Time_Ratio,A_Retran_intervals,A_IAT_StdDev,Gap_34_Time,Type_3_Last_Time,A_Silence_Total_Duration,Type_5_First_Occurrence_Time,Range_1,A_Silence_Max_Duration
HONOR-70_1,5.603617906570435,0.2029309272766113,0.0184482661160555,0.1458866433101411,0.0772035121917725,0.2029309272766113,0.0132067757421098,0.0069388151168823,0.0350769974168666,0.0026800632476806,0.0162389278411865,0.1192522048950196,0.0540738105773925,2,0.1192522048950196
HONOR-70_1,9.231966972351074,0.2005419731140136,0.0200541973114013,0.1536794375212507,0.0800293087959289,0.2005419731140136,0.0107604733609624,0.0087386608123779,0.0356824938091499,0.0021579265594482,0.0156619548797607,0.1167299747467042,0.052992820739746,6,0.1167299747467042
HONOR-70_1,4.803907871246338,0.201427936553955,0.0201427936553955,0.1437095342368468,0.0815109729766844,0.201427936553955,0.014570633840327,0.0083054542541503,0.0365268998649892,0.0029349327087402,0.0149519443511962,0.1194369792938231,0.0530438423156738,5,0.1194369792938231
HONOR-70_1,4.534456014633179,0.2076501846313476,0.0207650184631347,0.1425676389405567,0.0812256455421446,0.2076501846313476,0.0466939472850276,0.0081390380859375,0.0361197888445999,0.0096960067749024,0.0143060684204101,0.1190588474273681,0.0589871406555175,5,0.1190588474273681
HONOR-70_1,5.778409004211426,0.2012319564819336,0.0201231956481933,0.1423530972906115,0.0814118146896361,0.2012319564819336,0.0125232812181585,0.0080925941467285,0.0365742274049277,0.0025200843811035,0.0157580375671386,0.1197328567504883,0.0528531074523925,4,0.1197328567504883
HONOR-70_1,8.583173036575317,0.2026319503784179,0.0253289937973022,0.1499211671961409,0.0906666994094848,0.2026319503784179,-0.0768043299211667,0.0080261826515197,0.0398905863652589,-0.0155630111694335,0.0155630111694335,0.1194171905517577,0.0528359413146972,7,0.1194171905517577
HONOR-70_1,4.36447811126709,0.2011151313781738,0.0182831937616521,0.1407998217033496,0.0766265392303467,0.2011151313781738,0.0171646090632548,0.0070186456044514,0.0347219113085735,0.0034520626068114,0.0160930156707763,0.1183071136474609,0.0544910430908203,7,0.1183071136474609
HONOR-70_1,4.601876974105835,0.2017698287963867,0.0201769828796386,0.1364719172287319,0.0824710249900816,0.2017698287963867,0.0118293622471891,0.0082811832427978,0.0370744848983541,0.0023868083953857,0.0154390335083007,0.1208739280700683,0.0533599853515625,4,0.1208739280700683
HONOR-70_1,4.482576847076416,0.2002718448638916,0.022252427207099,0.1430105440350666,0.0861485004425048,0.2002718448638916,0.0117547479110142,0.0083213806152343,0.0384052042898848,0.0023541450500488,0.014056921005249,0.1203029155731202,0.0513279438018798,5,0.1203029155731202
HONOR-70_1,4.496638059616089,0.1976430416107177,0.9154889994654162,133.46299828100973,2.6295138359069736,26.54918098449707,-133.29643596007122,0.006920099258423,4.07632779108291,-26.345113039016724,26.362158060073853,26.002374172210693,0.0516989231109619,4,21.70337915420532
HONOR-70_2,5.8335020542144775,0.0333118438720703,0.003331184387207,0.3042155740051528,0.0094727039337158,0.0333118438720703,0.0838462639564843,0.0024224281311035,0.0036240348979463,0.0027930736541748,0.0040249824523925,0.0105679035186767,0.0126099586486816,2,0.0105679035186767
HONOR-70_2,5.764261960983276,0.0428950786590576,0.0042895078659057,0.3108078814995978,0.0126667976379394,0.0428950786590576,0.0978184142511742,0.0033342838287353,0.005240322441907,0.0041959285736084,0.0015690326690673,0.0175879001617432,0.0119750499725341,2,0.0175879001617432
HONOR-70_2,5.729249000549316,0.0317299365997314,0.0031729936599731,0.3183153623624005,0.008226203918457,0.0317299365997314,0.0930007138295063,0.0022742748260498,0.0033413746742817,0.00295090675354,0.002810001373291,0.0090699195861816,0.0125598907470703,2,0.0090699195861816
HONOR-70_2,5.735748052597046,0.047382116317749,0.0036447781782883,0.4318514604875842,0.0118839263916015,0.047382116317749,0.0550179887790277,0.0028206408023834,0.0043536793350142,0.0026068687438965,0.0064761638641357,0.0132038593292236,0.015916109085083,2,0.0132038593292236
HONOR-70_2,5.742671966552734,0.0355260372161865,0.0039473374684651,0.4139805512492709,0.0078649520874023,0.0355260372161865,0.0615071775151525,0.003686785697937,0.002914646861429,0.0021851062774659,0.0032939910888671,0.0086450576782227,0.0121738910675048,2,0.0086450576782227
HONOR-70_2,5.717315912246704,0.0357179641723632,0.0039686626858181,0.3852361626571957,0.0125636100769043,0.0357179641723632,0.0647611673297183,0.0029245376586913,0.0051465097397157,0.0023131370544432,0.0031149387359619,0.0165300369262696,0.0,2,0.0165300369262696
HONOR-70_2,4.539139032363892,0.0317010879516601,0.00352234310574,0.4628922114256508,0.0077653884887695,0.0317010879516601,0.0818567431786046,0.0036715865135193,0.0025692985111026,0.0025949478149414,0.0042910575866699,0.0085010528564454,0.0135478973388671,1,0.0085010528564454
HONOR-70_2,5.72167181968689,0.0397930145263671,0.0036175467751242,0.3599374490725198,0.0112069845199585,0.0397930145263671,0.0831316205723032,0.0038922429084777,0.0045967531640651,0.0033080577850341,0.0013139247894287,0.0146470069885254,0.0108230113983154,2,0.0146470069885254
HONOR-70_2,5.726178169250488,0.0578870773315429,0.0052624615755948,0.2999967050528018,0.0147695541381835,0.0578870773315429,0.0729707243941419,0.0032382806142171,0.0061218430155798,0.0042240619659424,0.0057029724121093,0.0217950344085692,0.0176711082458496,2,0.0217950344085692
HONOR-70_2,5.756701946258545,0.0412268638610839,0.0058895519801548,0.618553302721522,0.0148921012878417,0.0412268638610839,0.0818133450537249,0.008500337600708,0.0058026279786772,0.0033729076385498,0.0020020008087158,0.0185821056365967,0.0116569995880126,2,0.0185821056365967
HONOR-70_2,5.746462106704712,0.0408360958099365,0.0034030079841613,0.2180419082316,0.0123721837997436,0.0408360958099365,0.0562766013346654,0.0014584064483642,0.0051430952416215,0.00229811668396,0.0038080215454101,0.0183210372924804,0.0136110782623291,2,0.0183210372924804
HONOR-70_2,0.0,0.0347719192504882,0.0028976599375406,0.5885192397356089,0.0093268752098083,0.0347719192504882,0.0910219138257306,0.0031165736062186,0.0035001776194994,0.0031650066375732,0.0023829936981201,0.0120301246643067,0.0126631259918212,0,0.0120301246643067
HUAWEI-mate30_1,1.080408811569214,0.0351698398590087,0.0025121314185006,0.4154413509317817,0.0090974450111389,0.0351698398590087,0.0759729650946017,0.0018296241760253,0.0033940663665705,0.0026719570159911,0.0010328292846679,0.0102980136871338,0.014028787612915,1,0.0102980136871338
HUAWEI-mate30_1,1.1716959476470947,0.3406300544738769,0.0037075042724609,0.0245662858558722,0.012960660457611,0.0370750427246093,0.005789854595697,0.0031832853953043,0.005708728422619,0.0019721984863281,0.002126932144165,0.0188710689544678,0.0098359584808349,1,0.0188710689544678
