Time,Dst,Type
0.0,0,3
2.002716064453125e-05,0,3
0.0021979808807373047,0,4
0.00898289680480957,0,5
0.02438497543334961,0,6
0.02866506576538086,0,6
0.03027796745300293,0,6
0.03373408317565918,0,6
4.608963966369629,1,1
4.608994007110596,0,2
4.609796047210693,0,2
4.60981297492981,0,2
4.630500078201294,1,1
4.630529880523682,0,2
4.63144588470459,0,2
4.6314709186553955,0,2
14.707998991012573,1,1
14.708025932312012,0,2
14.709146976470947,0,2
14.709178924560547,0,2
14.72999095916748,1,1
14.73002004623413,0,2
14.73149299621582,0,2
14.731519937515259,0,2
