Rank,Feature_Name,Importance_Score,Feature_Type
166,ex_3_2_3_3_4,9.214535082810057e-05,Excess
167,seq_range_2_1_1_2_2_1_1_1_2_1_2,9.19917508265449e-05,Sequence
168,seq_1_2_2_3_5_6_6_6,8.987985947898844e-05,Sequence
169,seq_1_2_3_2_2_3_5_6_6_6_6,8.836985222250335e-05,Sequence
170,ex_1_1_1_1_1_2,8.684283840322527e-05,Excess
171,seq_range_2_2_2_2,8.491237568964919e-05,Sequence
172,seq_1_2_3_3_4_5_6_6_6_6_6_6,8.17113588990284e-05,Sequence
173,seq_2_2_3_3_5_6_6_6_6,7.561399523522737e-05,Sequence
174,seq_2_2_2_3_3_4_5_6_6_6,6.681564133869015e-05,Sequence
175,ex_3_2_2_3_5_5,6.673561538511605e-05,Excess
176,seq_1_2_2_3_4_4_5_6_6_6_6_6,6.452140609831162e-05,Sequence
177,Trans_2_1,6.337595302321711e-05,Numeric
178,seq_2_3_3_6_6_6_6,6.208020912663984e-05,Sequence
179,ex_3_2_3_5_5,5.973907459357173e-05,Excess
180,seq_range_1_1_1_2_1_1_2_1_2,5.937806327595659e-05,Sequence
181,seq_1_2_2_2_3_3_4_5_5_6_6_6_6_6,5.448585470184584e-05,Sequence
182,seq_range_2_1_2_1_2_1_2_1_2_1_2_1_2_1_2,5.2413918803069687e-05,Sequence
183,seq_1_2_2_2_3_3_5_6_6_6_6_6_6,5.054533977240287e-05,Sequence
184,seq_1_2_2_3_3_4_5_6_6_6_6_6_6,4.705674427530004e-05,Sequence
185,ex_3_3_3_4,4.572723123704373e-05,Excess
186,Trans_3_6,4.4062924744767604e-05,Numeric
187,seq_1_2_2_3_3_4_6_6_6_6_6,3.446485072706058e-05,Sequence
188,seq_range_1_2_1_1_2_1_2_1_1_2_1_2,1.88318505410323e-05,Sequence
189,seq_range_1_1_2_2_1_1_2_2_2_1_1_1_1,1.0380954572298495e-05,Sequence
190,seq_1_1_1_1_3_2_2_2_3_4_5_6_6_6_6,5.657249707824072e-06,Sequence
191,ex_2_4_4_4,3.261234032327654e-06,Excess
192,seq_1_2_3_3_4_5_6_6_6_6,1.5446253193342926e-19,Sequence
193,seq_2_2_2_3_3_4_4_4_4_4_5_6_6_6_6,1.108889510503388e-19,Sequence
194,seq_range_1_2_1_1_2_1_2_1_2_1_2_2_1,1.013781307341716e-19,Sequence
195,seq_1_2_2_2_3_3_4_5_5_6_6_6_6,7.581890501174144e-20,Sequence
196,seq_1_2_3_2_3_4_5_6_6_6_6,5.776452735071443e-20,Sequence
197,seq_range_1_1_2_1_2_1_1_2_2_1,4.9668597015798935e-20,Sequence
198,ex_3_3_3_3_3_3_3_4,0.0,Excess
199,First_Stage_Time_Diff_Ratio,0.0,Numeric
200,seq_1_2_2_2_3_3_4_4_6_6_6_6,0.0,Sequence
201,ex_3_3_2_4,0.0,Excess
202,Trans_6_1,0.0,Numeric
203,Trans_6_2,0.0,Numeric
204,seq_1_2_2_2_3_3_4_6_6_6_6,0.0,Sequence
205,seq_1_2_2_2_3_3_5_6_6,0.0,Sequence
206,Trans_6_3,0.0,Numeric
207,seq_1_2_2_2_3_3_5_6_6_6_6,0.0,Sequence
208,Trans_6_4,0.0,Numeric
209,seq_1_2_2_2_3_4_4_6_6_6_6,0.0,Sequence
210,Trans_6_5,0.0,Numeric
211,ex_3_2_4,0.0,Excess
212,seq_1_2_2_2_3_4_6_6_6_6,0.0,Sequence
213,seq_1_2_2_3_2_3_4_5_6_6_6_6_6_6_6,0.0,Sequence
214,seq_1_2_2_3_2_3_4_6_6_6_6,0.0,Sequence
215,seq_1_2_2_2_3_3_3_4_6_6_6_6,0.0,Sequence
