Rank,Feature_Name,Importance_Score,Feature_Type
112,seq_1_2_2_3_2_3_4_5_6_6_6_6_6,0.00034674650702804004,Sequence
113,seq_range_1_2,0.0003418637759112471,Sequence
114,ex_4_1_2_3_3_3,0.0003187409148446859,Excess
115,Trans_2_5,0.000315630789140555,Numeric
116,seq_range_1_2_1_2_1_2_2_2,0.00031555595246256343,Sequence
117,seq_1_3_2_2_4_6_6_6_6,0.0003135822716675065,Sequence
118,seq_1_3_2_2_3_4_5_6_6_6_6_6_6_6,0.0003100278643222519,Sequence
119,seq_1_2_2_3_3_4_6_6,0.0003082378526935427,Sequence
120,seq_1_2_2_2_3_3_3_3_4_5_6_6_6_6,0.0002774125505084934,Sequence
121,seq_1_2_3_2_4_5_6_6_6_6,0.00027674086391520753,Sequence
122,seq_1_2_1_2_2_3_3_4_5_6_6_6_6_6_6,0.00027556722869607624,Sequence
123,ex_4_4_4,0.0002704049936222601,Excess
124,seq_range_1_2_1_1_2,0.00026749131141740566,Sequence
125,seq_1_2_2_3_3_4_5_6_6_6_6_6,0.0002586955767307431,Sequence
126,seq_range_2,0.0002517099283678181,Sequence
127,seq_1_2_3_2_3_4_5_6_6_6_6_6,0.0002506283589786702,Sequence
128,seq_1_2_2_3_3_4_4_4_4_5_6_6_6_6_6_6_6,0.00024994346610634723,Sequence
129,seq_range_1_2_3_3_6_6_6_6,0.0002394991726163109,Sequence
130,ex_3_3_3_3_2_5_5_5_5,0.0002370127487019908,Excess
131,seq_1_2_2_3_4_5_6_6_6_6,0.00021943484902171905,Sequence
132,seq_range_1_2_1_1_2_1_2_1_1_2_1_2,0.00021699044203995251,Sequence
133,Trans_5_5,0.00021336103626128574,Numeric
134,seq_1_2_3_2_3_4_6_6_6_6,0.00021178398607779394,Sequence
135,seq_range_2_1_1_2_1_2_1_1_2,0.00021149776112438108,Sequence
136,ex_4_4_4_5,0.0002101500357745007,Excess
137,seq_range_1_2_1_1_2_1_2_2,0.00020988322605046422,Sequence
138,seq_range_1_2_2_2_1_2_2_1_1_2_2_1,0.00020960393758709116,Sequence
139,ex_3_2_2_2_3_4,0.00020914765655670779,Excess
140,ex_3_3_3_3_4,0.00019927626205990255,Excess
141,seq_range_1_2_2_1_2_2,0.00019714170630658295,Sequence
142,seq_1_2_2_3_2_3_5_6_6_6_6,0.00019600459977729706,Sequence
143,seq_1_2_3_3_5_6_6_6_6_6,0.00019139020207718885,Sequence
144,seq_1_2_2_3_3_4_6_6_6_6_6,0.00018026556982580935,Sequence
145,ex_4_4_5,0.00017986012963622109,Excess
146,seq_range_1_2_1_1_2_2,0.00017482046052859888,Sequence
147,seq_1_1_1_2_2_3_4_5_6_6,0.00017476663665181484,Sequence
148,seq_1_2_2_2_3_4_4_6_6_6_6,0.000168822363243438,Sequence
149,seq_1_2_2_3_4_5_6_6_6,0.00016763629994722055,Sequence
150,seq_range_2_2_2_2,0.0001657146503412182,Sequence
151,seq_range_1_1_2_2_1_1_2_2_1_1_2,0.00016433217169722932,Sequence
152,seq_1_2_2_3_2_3_4_5_6_6_6,0.00016408853959295897,Sequence
153,seq_range_1_1_1_1_1_1_2_2_1_1_2_2,0.00015814992222250722,Sequence
154,seq_range_2_1_2_2_2,0.00015521588138396708,Sequence
155,Trans_3_6,0.00015404502292289398,Numeric
156,seq_1_2_3_3_3_3_2_5_5_5_6_6_6,0.00015399022523258704,Sequence
157,seq_1_2_2_2_3_3_5_6_6,0.0001536219591032548,Sequence
158,seq_1_1_2_2_2_3_3_4_5_6_6_6_6,0.00015082795123890822,Sequence
159,seq_1_1_2_2_2_3_4_5_6_6_6_6,0.00014488467338856522,Sequence
160,seq_range_2_2_2_1_2,0.00014010663958913483,Sequence
161,seq_1_1_1_1_3_2_2_2_3_4_5_6_6_6_6,0.0001321930708594092,Sequence
162,seq_1_2_2_2_3_3_4_5_6_6_6,0.0001273980722189759,Sequence
163,seq_range_1_1_1_1_2_2_1_1_1_1_2_2,0.00012269841906926168,Sequence
164,seq_2_2_2_3_3_5_6_6_6_6,0.00011924634010834083,Sequence
165,seq_1_3_2_2_2_3_4_5_6_6_6_6_6,0.0001156901838725954,Sequence
166,seq_range_1_1_1_2_1_2_1_2_1_2,0.00011395532579534776,Sequence
167,seq_1_2_2_2_3_3_3_3_4_4_5_6_6_6_6,0.00011206094556204172,Sequence
168,seq_1_2_2_2_3_3_4_4_4_5_6_6_6_6_6_6,0.00011119919992050442,Sequence
169,seq_range_1_2_1_2_2_1_2_1_2,0.00010960251042880614,Sequence
170,seq_1_2_3_2_2_3_5_6_6_6_6,0.00010865644709605252,Sequence
171,seq_range_1_2_2_2_1_2,0.00010761084874770722,Sequence
172,seq_range_1_1_2_1_2_2_1_1_2_2_1,0.00010704006708281728,Sequence
173,seq_1_2_3_2_2_3_4_5_6_6_6_6_6,0.00010652248430191016,Sequence
174,Trans_6_1,0.00010497295487112501,Numeric
175,seq_range_1_2_2_1_1_2_2_1_1_2_2,0.00010446478260897465,Sequence
176,seq_range_1_1_1,0.0001044563938614203,Sequence
177,seq_range_1_1_1_1_2_1_2_1_2_1_2,0.0001017775958811758,Sequence
178,seq_1_1_2_2_3_3_3_4_6_6_6_6,9.691993955299852e-05,Sequence
179,ex_3_2_4,9.282073804486124e-05,Excess
180,seq_1_2_3_3_4_6_6_6_6_6,9.227670264246326e-05,Sequence
181,seq_1_2_3_2_2_3_4_5_6_6_6_6,8.540836043068993e-05,Sequence
182,lk_elem_3,8.424507707832392e-05,Numeric
183,seq_range_1_2_1_1_2_2_1_1_2_2,8.40491381744513e-05,Sequence
184,seq_range_1_1_1_1_1_1_1_2_2_2_2,7.660555650613763e-05,Sequence
185,seq_2_3_3_5_6_6_6,7.537468282474843e-05,Sequence
186,seq_1_2_3_3_4_5_6_6_6_6,7.409678830056446e-05,Sequence
187,seq_1_1_1_2_2_2_3_3_4_6_6_6,7.061974513292957e-05,Sequence
188,seq_1_2_2_2_3_3_4_5_6_6_6_6_6,6.993860416029123e-05,Sequence
189,seq_1_2_3_3_2_4_5_6_6_6_6,6.676905815161919e-05,Sequence
190,seq_1_2_2_2_3_3_4_6_6_6_6,6.286355134112354e-05,Sequence
191,seq_1_2_2_2_3_4_5_6_6_6_6,6.105600146127441e-05,Sequence
192,seq_range_2_1_1_2_1_1_2,5.906787807411891e-05,Sequence
