Time,Dst,Type
0.0,0,1
0.0025730133056640625,0,2
0.006312847137451172,0,3
0.017384052276611328,0,5
0.023401975631713867,0,6
0.05275297164916992,0,6
0.06196284294128418,0,6
0.06777095794677734,0,6
9.455920934677124,1,1
9.455950021743774,0,2
9.456892967224121,0,2
9.456910848617554,0,2
9.474519968032837,1,1
9.476112842559814,0,2
9.476147890090942,0,2
9.477032899856567,0,2
19.406239986419678,1,1
19.407485008239746,0,2
19.40869903564453,0,2
19.423842906951904,1,1
19.425302028656006,0,2
19.425336837768555,0,2
19.426558017730713,0,2
