Time,Dst,Type
0.0,0,1
0.0013430118560791016,0,2
0.0013480186462402344,0,2
0.003946065902709961,0,3
0.015758037567138672,0,3
0.018278121948242188,0,4
0.05285310745239258,0,5
0.17258596420288086,0,6
0.17858600616455078,0,6
0.19733405113220215,0,6
0.2012319564819336,0,6
5.778409004211426,1,1
5.780828952789307,0,2
5.7995381355285645,0,2
5.86926794052124,1,1
5.869277000427246,0,2
5.889923095703125,1,1
5.889934062957764,0,2
5.891111135482788,1,1
5.891122102737427,0,2
15.926823139190674,0,2
15.946722984313965,0,2
16.014915943145752,1,1
16.01492714881897,0,2
16.016042947769165,1,1
16.035113096237183,1,1
16.035162925720215,0,2
16.036270141601562,1,1
16.0362811088562,0,2
