Sample,Type_6_Last_Occurrence_Time,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Exists,Dst_One_Count,Type_Unique_Count,Type_Sequence,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,Type_2_First_Occurrence_Time_Diff,Type_3_First_Occurrence_Time_Diff,Type_4_First_Occurrence_Time_Diff,Type_5_First_Occurrence_Time_Diff,Type_6_First_Occurrence_Time_Diff,Type_Sequence_Descending_Count,Label
10,0.0202231407165527,"1,1",0.0202231407165527,6.223093986511231,11.253457844257355,0,0,4,"3,3,4,5,6,6",0.0,0.0,0.0,0.0035321712493896,0.0101079940795898,0.0179760456085205,0,0,2,1,1,2,0.0,0.0,0.0035321712493896,0.0065758228302002005,0.0078680515289307,0,HONOR-60SE_1
11,0.0282130241394042,"1,2,2,2,1",0.0282130241394042,9.25547695159912,14.29647672176361,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0038478374481201,0.0111708641052246,0.0226969718933105,0,0,2,1,1,3,0.0,0.0,0.0038478374481201,0.007323026657104501,0.011526107788085898,0,HONOR-60SE_1
12,0.0354421138763427,,0.0354421138763427,0.0,0.0,0,0,6,"1,2,2,3,3,4,5,6,6,6",0.0,0.0012071132659912,0.0022721290588378,0.0057859420776367,0.0123500823974609,0.0226690769195556,1,2,2,1,1,3,0.0012071132659912,0.0010650157928465999,0.0035138130187988997,0.0065641403198242,0.010318994522094702,0,HONOR-70_1
13,0.0337738990783691,"2,2,2,2,2",0.0337738990783691,5.782779932022095,0.0,0,0,6,"1,1,2,2,2,3,4,5,6,6,6",0.0,0.0010619163513183,0.0034220218658447,0.0059258937835693,0.0128240585327148,0.0159769058227539,2,3,1,1,1,3,0.0010619163513183,0.0023601055145264,0.0025038719177246003,0.0068981647491455,0.003152847290039099,0,HONOR-70_1
14,0.0390169620513916,"2,2,2,2,2,2",0.0390169620513916,5.62737512588501,0.0,0,0,6,"1,2,2,2,3,3,4,4,5,6,6,6",0.0,8.106231689453125e-06,0.0023779869079589,0.0048320293426513,0.0130989551544189,0.0304579734802246,1,3,2,2,1,3,8.106231689453125e-06,0.0023698806762694467,0.0024540424346924006,0.008266925811767599,0.0173590183258057,0,HONOR-70_1
15,0.0325479507446289,"2,2,2",0.0325479507446289,5.719035863876343,0.0,0,0,6,"1,2,3,2,2,3,4,5,6,6,6,6",0.0,0.0017688274383544,0.0017778873443603,0.0052428245544433,0.0120408535003662,0.0198500156402587,1,3,2,1,1,4,0.0017688274383544,9.059906005899924e-06,0.0034649372100830004,0.0067980289459229,0.007809162139892498,1,HONOR-70_1
16,0.0330159664154052,"2,2",0.0330159664154052,5.773015022277832,0.0,0,0,6,"1,2,2,3,3,4,5,6,6,6",0.0,5.0067901611328125e-06,0.0028290748596191,0.0058889389038085,0.012402057647705,0.0166819095611572,1,2,2,1,1,3,5.0067901611328125e-06,0.002824068069457967,0.0030598640441894,0.0065131187438965,0.004279851913452199,0,HONOR-70_1
17,0.0332660675048828,,0.0332660675048828,0.0,0.0,0,0,6,"1,2,2,3,3,4,5,6,6,6",0.0,0.0018379688262939,0.0029850006103515,0.0047190189361572,0.0126929283142089,0.015977144241333,1,2,2,1,1,3,0.0018379688262939,0.0011470317840576,0.0017340183258056996,0.007973909378051699,0.0032842159271241015,0,HONOR-70_1
18,0.0413300991058349,,0.0413300991058349,0.0,0.0,0,0,6,"1,2,2,2,3,3,3,3,3,4,3,5,6,6,6,6,6",0.0,8.106231689453125e-06,0.0026609897613525,0.0054500102996826,0.0121800899505615,0.0272009372711181,1,3,6,1,1,5,8.106231689453125e-06,0.002652883529663047,0.0027890205383301,0.006730079650878899,0.015020847320556602,1,HONOR-70_1
19,0.0408549308776855,,0.0408549308776855,0.0,0.0,0,0,6,"1,2,2,2,3,3,4,4,5,6,6,6",0.0,1.9073486328125e-06,0.0027880668640136,0.0059969425201416,0.012502908706665,0.0308649539947509,1,3,2,2,1,3,1.9073486328125e-06,0.0027861595153807874,0.003208875656128,0.006505966186523399,0.018362045288085903,0,HONOR-70_1
20,0.0326449871063232,,0.0326449871063232,0.0,0.0,0,0,6,"1,2,3,2,2,3,4,4,5,6,6,6",0.0,6.9141387939453125e-06,9.059906005859377e-06,0.0043330192565917,0.0111138820648193,0.0176498889923095,1,3,2,2,1,3,6.9141387939453125e-06,2.145767211914064e-06,0.00432395935058584,0.0067808628082276,0.006536006927490201,1,HONOR-70_1
21,0.0457220077514648,,0.0457220077514648,0.0,0.0,0,0,6,"1,2,2,2,3,3,3,3,3,3,3,3,4,5,6,6,6",0.0,6.9141387939453125e-06,0.0030429363250732,0.008915901184082,0.0157690048217773,0.0366308689117431,1,3,8,1,1,3,6.9141387939453125e-06,0.003036022186279255,0.0058729648590087995,0.006853103637695299,0.020861864089965803,0,HONOR-70_1
