Time,Dst,Type
0.0,0,1
0.0011129379272460938,0,2
0.0011360645294189453,0,2
0.0011448860168457031,0,2
0.006342887878417969,0,3
0.006365060806274414,0,3
0.00935506820678711,0,4
0.015971899032592773,0,5
0.022233963012695312,0,6
0.0722808837890625,0,6
0.07847809791564941,0,6
12.404720067977905,1,1
12.404759883880615,0,2
12.405324935913086,0,2
12.405346870422363,0,2
22.33910608291626,1,1
22.34761691093445,0,2
22.34764790534973,0,2
22.348448991775513,0,2
32.41316890716553,1,1
32.41428804397583,0,2
32.41432595252991,0,2
32.415409088134766,0,2
42.49085187911987,1,1
42.49242091178894,0,2
42.49246096611023,0,2
52.44593000411987,0,2
52.445960998535156,0,2
52.446938037872314,0,2
