Time,Dst,Type
0.0,0,1
2.5987625122070312e-05,0,2
0.0012688636779785156,0,2
0.0012969970703125,0,2
0.0028438568115234375,0,3
0.0028679370880126953,0,3
0.003949880599975586,0,4
0.011499881744384766,0,5
0.017494916915893555,0,6
0.01752185821533203,0,6
0.03184080123901367,0,6
0.03373384475708008,0,6
0.03683185577392578,0,6
2.880401849746704,1,1
2.8804359436035156,0,2
2.8815698623657227,0,2
2.8816018104553223,0,2
2.9011378288269043,1,1
2.9011738300323486,0,2
2.902470827102661,0,2
2.9025027751922607,0,2
12.81888484954834,1,1
12.818912982940674,0,2
12.819670915603638,0,2
12.819702863693237,0,2
12.839133977890015,1,1
12.83916187286377,0,2
12.839168787002563,0,2
12.839637994766235,0,2
