Time,Dst,Type
0.0,0,1
8.106231689453125e-06,0,2
0.001734018325805664,0,2
0.015563011169433594,0,3
0.052835941314697266,0,5
0.17225313186645508,0,6
0.17928194999694824,0,6
0.1982131004333496,0,6
0.20263195037841797,0,6
8.583173036575317,0,2
8.688730001449585,1,1
8.688740968704224,0,2
8.689836978912354,1,1
8.691221952438354,0,2
8.708831071853638,1,1
8.712566137313843,0,2
8.782721996307373,1,1
8.78274416923523,0,2
8.78387713432312,1,1
8.783888101577759,0,2
8.802881002426147,1,1
8.802891969680786,0,2
8.80400800704956,1,1
8.8040189743042,0,2
18.613149166107178,0,2
18.633223056793213,0,2
18.701548099517822,1,1
18.701558113098145,0,2
18.703039169311523,0,2
18.703043937683105,1,1
18.721915006637573,1,1
18.721927165985107,0,2
18.722965002059937,1,1
18.72297716140747,0,2
