Time,Dst,Type
0.0,0,1
2.5033950805664062e-05,0,2
0.0009169578552246094,0,2
0.0009450912475585938,0,2
0.008934974670410156,0,3
0.00896000862121582,0,3
0.02767801284790039,0,4
0.034481048583984375,0,5
0.03926515579223633,0,6
0.0728151798248291,0,6
0.08141517639160156,0,6
0.08767914772033691,0,6
10.796449184417725,1,1
10.798918008804321,0,2
10.818310022354126,1,1
10.818343162536621,0,2
10.818351984024048,0,2
10.81931209564209,0,2
20.85607600212097,1,1
20.856942176818848,0,2
20.858050107955933,0,2
20.8595290184021,0,2
20.877366065979004,1,1
20.877392053604126,0,2
20.87877607345581,0,2
20.878802061080933,0,2
30.894752025604248,1,1
30.894778966903687,0,2
30.89725613594055,0,2
30.91534113883972,1,1
30.915372133255005,0,2
40.924843072891235,1,1
40.9248731136322,0,2
40.92571997642517,0,2
40.92576503753662,0,2
40.94550895690918,1,1
40.94554018974304,0,2
40.94692301750183,0,2
40.94695210456848,0,2
