Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Gap_23_Time,Gap_23_Time_Ratio,Type_3_Last_Time,A_IAT_StdDev,Type_6_Time_Ratio,Range_1,A_Silence_Max_Duration,A_Silence_Avg_Duration,A_Silence_Total_Duration,Gap_34_Time_Ratio,Range_2,Gap_34_Time,Probe_Time_Ratio,Range_1_2,A_Kurtosis,A_CV,A_IAT_Skew_Ratio,A_Skewness
HONOR-70_1,5.603617906570435,0.2029309272766113,0.0023519992828369,0.0115901470239227,0.0162389278411865,0.0350769974168666,-0.8541133566898588,2,0.1192522048950196,0.1192522048950196,0.1192522048950196,0.0132067757421098,3,0.0026800632476806,0.009214548718563,1,4.544770407329387,1.901370957910188,6.670498881548195,2.426995688469511
HONOR-70_1,4.803907871246338,0.201427936553955,0.0023629665374756,0.0117310765224596,0.0149519443511962,0.0365268998649892,-0.8562904657631532,5,0.1194369792938231,0.1194369792938231,0.1194369792938231,0.014570633840327,7,0.0029349327087402,0.0053263892998755,3,3.786659289079193,1.8133979074548592,7.902076891237094,2.2800737290980235
HONOR-70_1,4.534456014633179,0.2076501846313476,0.0021419525146484,0.0103151967740896,0.0143060684204101,0.0361197888445999,-0.8574323610594432,5,0.1190588474273681,0.1190588474273681,0.1190588474273681,0.0466939472850276,2,0.0096960067749024,0.0052207479665835,2,3.817541842208226,1.7394537312223124,4.560936187115184,2.285215413555923
HONOR-70_1,5.778409004211426,0.2012319564819336,0.0025980472564697,0.0129107091233938,0.0157580375671386,0.0365742274049277,-0.8576469027093885,4,0.1197328567504883,0.1197328567504883,0.1197328567504883,0.0125232812181585,5,0.0025200843811035,0.0066988298966383,3,3.836235641543244,1.8175158679735537,7.707011923401152,2.293584845917377
HONOR-70_1,4.36447811126709,0.2011151313781738,0.0022931098937988,0.0114019759631455,0.0160930156707763,0.0347219113085735,-0.8592001782966504,7,0.1183071136474609,0.1183071136474609,0.1183071136474609,0.0171646090632548,6,0.0034520626068114,0.0069362613183991,5,4.615361025535206,1.899116301080862,8.458217719558645,2.448452186512383
HONOR-70_1,4.601876974105835,0.2017698287963867,0.0015590190887451,0.0077267205807978,0.0154390335083007,0.0370744848983541,-0.8635280827712681,4,0.1208739280700683,0.1208739280700683,0.1208739280700683,0.0118293622471891,5,0.0023868083953857,0.0074490360210045,3,3.764362522396155,1.837464259127033,9.603510885465928,2.273324140604193
HONOR-70_1,4.482576847076416,0.2002718448638916,0.0010910034179687,0.0054476125623662,0.014056921005249,0.0384052042898848,-0.8569894559649334,5,0.1203029155731202,0.1203029155731202,0.1203029155731202,0.0117547479110142,5,0.0023541450500488,0.0052226128302225,3,3.0253419247396103,1.7258883236626277,9.641633728590072,2.1201594745080934
HONOR-70_2,5.8335020542144775,0.0333118438720703,0.002018928527832,0.0606069281419973,0.0040249824523925,0.0036240348979463,-0.6957844259948471,2,0.0105679035186767,0.0105679035186767,0.0105679035186767,0.0838462639564843,6,0.0027930736541748,0.0593758946464338,1,-0.4109617890207291,1.087911828556837,3.169174181300465,0.9883767583602608
HONOR-70_2,5.729249000549316,0.0317299365997314,0.001511812210083,0.0476462411240934,0.002810001373291,0.0033413746742817,-0.6816846376375995,2,0.0090699195861816,0.0090699195861816,0.0090699195861816,0.0930007138295063,5,0.00295090675354,0.0400871623398569,1,-1.0594139233430773,1.0530669242843782,2.342804706898467,0.6667803874512583
HONOR-70_2,5.735748052597046,0.047382116317749,0.0043449401855469,0.0917000025159137,0.0064761638641357,0.0043536793350142,-0.5681485395124157,2,0.0132038593292236,0.0132038593292236,0.0132038593292236,0.0550179887790277,5,0.0026068687438965,0.0172641960399514,1,0.0616234011107859,1.1944977504937566,3.513777777777705,1.1310330993327442
HONOR-70_2,5.742671966552734,0.0355260372161865,0.0021488666534424,0.0604870912104805,0.0032939910888671,0.002914646861429,-0.5860194487507291,2,0.0086450576782227,0.0086450576782227,0.0086450576782227,0.0615071775151525,6,0.0021851062774659,0.0311059211983317,1,-1.2113579397051963,0.738382994794309,1.194844523229141,0.272457461691237
HONOR-70_2,5.717315912246704,0.0357179641723632,0.0022439956665038,0.0628254078444984,0.0031149387359619,0.0051465097397157,-0.6147638373428043,2,0.0165300369262696,0.0165300369262696,0.0165300369262696,0.0647611673297183,6,0.0023131370544432,0.0241903185325591,1,2.121309599217251,1.2967868894745294,2.7166769738199177,1.7860215069071417
HONOR-70_2,4.539139032363892,0.0317010879516601,0.0024979114532471,0.0787957642670207,0.0042910575866699,0.0025692985111026,-0.5371077885743492,1,0.0085010528564454,0.0085010528564454,0.0085010528564454,0.0818567431786046,3,0.0025949478149414,0.0561806203182794,0,-0.1755888475852822,0.7294288017870053,1.7090040426313804,0.8059805365609568
HONOR-70_2,5.726178169250488,0.0578870773315429,0.0034761428833006,0.0600504126921352,0.0057029724121093,0.0061218430155798,-0.7000032949471983,2,0.0217950344085692,0.0217950344085692,0.0217950344085692,0.0729707243941419,6,0.0042240619659424,0.021351257846093,1,2.989875550543053,1.163304078830814,1.2277777777778436,1.9077140617298465
HONOR-70_2,5.756701946258545,0.0412268638610839,0.0020020008087158,0.0485605894123222,0.0020020008087158,0.0058026279786772,-0.3814466972784781,2,0.0185821056365967,0.0185821056365967,0.0185821056365967,0.0818133450537249,6,0.0033729076385498,0.0,1,1.538272108704179,0.9852409823751476,1.753134888081536,1.7551056745564584
HONOR-70_2,5.746462106704712,0.0408360958099365,0.0012781620025635,0.0312998090834258,0.0038080215454101,0.0051430952416215,-0.7819580917683999,2,0.0183210372924804,0.0183210372924804,0.0183210372924804,0.0562766013346654,5,0.00229811668396,0.0612684567284932,1,4.1257575499779255,1.511337988496947,3.313531828995717,2.260677111726474
HUAWEI-mate30_1,1.1716959476470947,0.3406300544738769,-7.1525573730000375e-06,-2.099802198619139e-05,0.002126932144165,0.005708728422619,-0.0842762611761971,1,0.0188710689544678,0.0188710689544678,0.0188710689544678,0.005789854595697,1,0.0019721984863281,0.0036641548366141,0,3.2252514358590743,1.5397766268330724,3.470617582583805,2.078710104884247
HUAWEI-mate30_1,1.2713119983673096,0.3610191345214844,-3.314018249520002e-05,-9.179619395832285e-05,0.0022120475769042,0.0036866987876333,-0.0564130538150232,1,0.009680986404419,0.009680986404419,0.009680986404419,0.0052158729487844,3,0.0018830299377442,0.0034241961559188,0,-0.8892347284913984,1.1381897458524255,3.872159451567848,0.851252086952575
HUAWEI-mate30_1,1.3052141666412354,0.3673310279846191,-8.106231689399999e-06,-2.2067919864747785e-05,0.0016050338745117,0.0073593263391445,-0.0771838478403944,1,0.0242178440093995,0.0242178440093995,0.0242178440093995,0.0068851909978462,3,0.0025291442871093,0.0043506254957166,0,4.370933053258334,1.9435613029744443,3.450377278507869,2.43474996988469
HUAWEI-mate30_1,1.309028148651123,0.3624100685119629,-0.0012099742889405,-0.0033386883921536,0.0023841857910156,0.0059147734843284,-0.0834553681504258,1,0.0188329219818116,0.0188329219818116,0.0188329219818116,-0.0065786963392185,3,-0.0023841857910156,0.0065701440339776,0,2.134974890597441,1.5067512562808414,5.74028580603713,1.818747518807728
