Label	A_Burst_Duration	A_Burst_Rate	A_CV	A_IAT_IQR	A_IAT_Median	A_IAT_P10	A_IAT_P90	A_IAT_P95	A_IAT_Q1	A_IAT_Q3	A_IAT_Skew_Ratio	A_IAT_StdDev	A_Kurtosis	A_Mean_IAT	A_Retran_intervals	A_Silence_Avg_Duration	A_Silence_Max_Duration	A_Silence_Rate	A_Silence_Total_Duration	A_Skewness	Assoc_Time	Assoc_Time_Ratio	First_Stage_Time_Diff	Gap_23_Time	Gap_23_Time_Ratio	Gap_34_Time	Gap_34_Time_Ratio	Gap_45_Time	Gap_45_Time_Ratio	Next_Packet_After_First_Stage	Probe_Time	Probe_Time_Ratio	Trans_3_3	Trans_4_5	Trans_4_6	Trans_5_1	Trans_5_6	Type_1_Count	Type_1_First_Occurrence_Time	Type_1_Last_Time	Type_2_Count	Type_2_First_Occurrence_Time	Type_2_Last_Time	Type_3_Count	Type_3_First_Occurrence_Time	Type_3_Last_Time	Type_4_Count	Type_4_First_Occurrence_Time	Type_4_Last_Time	Type_5_Count	Type_5_First_Occurrence_Time	Type_5_Last_Time	Type_6_Count	Type_6_First_Occurrence_Time	Type_6_Last_Time	Type_6_Time	Type_6_Time_Ratio	Range_1	Range_2	Range_1_2
HONOR-70_1	0.005481005	0.636363636	0.916526683	0.003789723	0.003353477	7.58E-06	0.006939626	0.00862931	0.001096785	0.004886508	1.069382532	0.003248364	-0.143154274	0.003544211	0.002557182	0.010318995	0.010318995	0.1	0.010318995	0.771985553	0.00656414	0.185207359	0.035442114	0.001060009	0.029908177	0.003505945	0.098920319	0.00656414	0.185207359	0	0.00121212	0.034199993	1	1	0	0	1	1	0	0	2	0.001207113	0.00121212	2	0.002272129	0.002279997	1	0.005785942	0.005785942	1	0.012350082	0.012350082	4	0.022669077	0.035442114	0.012773037	0.360391511	0	0	0
HONOR-70_1	0.003422022	0.5	1.16298228	0.002510905	0.001821995	7.15E-06	0.006898165	0.009460092	0.001042008	0.003552914	2.786050772	0.003570768	1.640653839	0.003070354	0.003189166	0.012022018	0.012022018	0.090909091	0.012022018	1.595023701	0.006898165	0.204245436	0.033773899	0.001026154	0.030383035	0.002503872	0.0741363	0.006898165	0.204245436	5.782779932	0.002395868	0.070938457	0	1	0	0	1	2	0	4.05E-06	3	0.001061916	0.002395868	1	0.003422022	0.003422022	1	0.005925894	0.005925894	1	0.012824059	0.012824059	4	0.015976906	0.033773899	0.017796993	0.526945178	0	5	0
HONOR-70_1	0.002403021	0.615384615	1.546224771	0.003429353	0.001425982	8.20E-06	0.007772756	0.012345123	2.03E-05	0.003449678	4.450810901	0.005027416	3.321207677	0.003251414	0.001406704	0.017359018	0.017359018	0.083333333	0.017359018	2.072224241	0.008266926	0.211880305	0.039016962	0.001106977	0.028371698	0.002453089	0.062872367	0.008242846	0.21126313	5.627375126	0.001271009	0.032575818	1	1	0	0	1	1	0	0	3	8.11E-06	0.001271009	2	0.002377987	0.002378941	2	0.004832029	0.00485611	1	0.013098955	0.013098955	4	0.030457973	0.039016962	0.008558989	0.219365838	0	6	0
HONOR-70_1	0.004738092	0.615384615	1.003270342	0.002547801	0.001988888	9.06E-06	0.006739211	0.007253039	0.000922441	0.003470242	2.388432031	0.002721199	-0.701874886	0.002712329	0.002784967	0.007809162	0.007809162	0.083333333	0.007809162	0.841783028	0.006798029	0.208861965	0.032547951	-0.001229048	-0.037761142	0.00222683	0.068416889	0.006798029	0.208861965	5.719035864	0.003006935	0.092384775	0	1	0	0	1	1	0	0	3	0.001768827	0.003006935	2	0.001777887	0.003015995	1	0.005242825	0.005242825	1	0.012040854	0.012040854	5	0.019850016	0.032547951	0.012697935	0.390130095	0	3	0
HONOR-70_1	0.005547762	0.636363636	0.957353834	0.002887189	0.002186418	0.000633073	0.006905317	0.008670211	0.00129348	0.00418067	2.158279265	0.003160796	0.577115976	0.003301597	0.003642368	0.010435104	0.010435104	0.1	0.010435104	1.21201098	0.006513119	0.197271789	0.033015966	0.001649141	0.049949812	0.002357006	0.071389886	0.006513119	0.197271789	5.773015022	0.001179934	0.035738271	1	1	0	0	1	1	0	0	2	5.01E-06	0.001179934	2	0.002829075	0.003531933	1	0.005888939	0.005888939	1	0.012402058	0.012402058	4	0.01668191	0.033015966	0.016334057	0.494732053	0	2	0
HONOR-70_1	0.004057884	0.636363636	1.047909236	0.004330933	0.00178349	8.65E-06	0.008166718	0.009034359	0.001147687	0.005478621	3.57906557	0.003485982	-0.739827499	0.003326607	0.003460598	0.009902	0.009902	0.1	0.009902	0.850669709	0.007973909	0.239700992	0.033266068	0.001137972	0.034208188	0.001729012	0.051975231	0.007973909	0.239700992	0	0.001847029	0.055522906	1	1	0	0	1	1	0	0	2	0.001837969	0.001847029	2	0.002985001	0.002990007	1	0.004719019	0.004719019	1	0.012692928	0.012692928	4	0.015977144	0.033266068	0.017288923	0.519716473	0	0	0
HONOR-70_1	0.002262354	0.722222222	1.576989999	0.001763821	0.001241922	8.68E-06	0.006149817	0.008380985	9.06E-06	0.001772881	3.951852563	0.00383395	4.934233661	0.002431182	0.001490571	0.015020847	0.015020847	0.058823529	0.015020847	2.312296713	0.00673008	0.162837249	0.041330099	0.001401901	0.03391962	-9.06E-06	-0.000219208	0.00673008	0.162837249	0	0.001259089	0.030464203	4	0	0	0	1	1	0	0	3	8.11E-06	0.001259089	6	0.00266099	0.00545907	1	0.00545001	0.00545001	1	0.01218009	0.01218009	6	0.027200937	0.041330099	0.014129162	0.34186131	0	0	0
HONOR-70_1	0.003861904	0.615384615	1.496267129	0.003086627	0.001872063	9.25E-06	0.006250119	0.011836219	0.000801325	0.003887951	2.338627101	0.005094158	4.45401729	0.003404578	0.001814127	0.018362045	0.018362045	0.083333333	0.018362045	2.316131138	0.006505966	0.159245556	0.040854931	0.001151085	0.028174932	0.002144098	0.052480771	0.006496906	0.159023798	0	0.001636982	0.040068161	1	1	0	0	1	1	0	0	3	1.91E-06	0.001636982	2	0.002788067	0.003852844	2	0.005996943	0.006006002	1	0.012502909	0.012502909	4	0.030864954	0.040854931	0.009989977	0.244523162	0	0	0
HONOR-70_1	0.001204729	0.769230769	1.168433053	0.00586462	0.001176953	2.62E-06	0.006749296	0.00741297	7.63E-06	0.00587225	4.734548769	0.003178623	-1.314820197	0.002720416	0.003008175	0.008195162	0.008195162	0.083333333	0.008195162	0.604958624	0.006780863	0.207715285	0.032644987	-0.001242876	-0.038072493	0.00308013	0.0943523	0.006772995	0.207474274	0	0.001251936	0.038350022	0	1	0	0	1	1	0	0	3	6.91E-06	0.001251936	2	9.06E-06	0.00125289	2	0.004333019	0.004340887	1	0.011113882	0.011113882	4	0.017649889	0.032644987	0.014995098	0.45933846	0	0	0
HONOR-70_1	0.001040936	0.666666667	1.891605124	0.002048969	0.001081944	2.81E-06	0.005773067	0.009654856	5.01E-06	0.002053976	4.335830762	0.005087528	7.881177674	0.00268953	0.001028756	0.020861864	0.020861864	0.058823529	0.020861864	2.905327002	0.006853104	0.149886323	0.045722008	0.001893997	0.041424191	0.003761053	0.082259141	0.006853104	0.149886323	0	0.001148939	0.025128799	7	1	0	0	1	1	0	0	3	6.91E-06	0.001148939	8	0.003042936	0.005154848	1	0.008915901	0.008915901	1	0.015769005	0.015769005	4	0.036630869	0.045722008	0.009091139	0.198835075	0	0	0
