Label,A_Burst_Duration,A_Burst_Rate,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_Skew_Ratio,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Retran_intervals,A_Silence_Avg_Duration,A_Silence_Count,A_Silence_Max_Duration,A_Silence_Rate,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Assoc_Time_Ratio,Dst_One_Count,Dst_One_Exist,First_Stage_Time_Diff,First_Stage_Time_Diff_Ratio,Gap_23_Time,Gap_23_Time_Ratio,Gap_34_Time,Gap_34_Time_Ratio,Gap_45_Time,Gap_45_Time_Ratio,Next_Packet_After_First_Stage,Probe_Time,Probe_Time_Ratio,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_6_Time_Ratio,Type_Sequence,Type_Sequence_In_Range,excess,lack,Range_1,Range_2,Range_1_2,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Class_Level1,Class_Level2,Final_Class
HONOR-60SE_1,0.0033428668975829974,0.6666666666666666,1.3244753032248162,0.0032798647880554234,0.0023379325866699488,2.4032592773379213e-05,0.009978055953979468,0.01316905021667483,0.0010029673576354772,0.004282832145690901,3.2678972057923126,0.005454499118808542,1.2798624349777175,0.004118233919143675,0.0013278007507324199,0.0163600444793702,1,0.0163600444793702,0.125,0.0163600444793702,1.5928748650183908,0.0072429180145262995,0.21984296414227109,0,0,0.0329458713531494,1.0,0.0,0.0,0.0027039051055908017,0.08207113651988224,0.0072429180145262995,0.21984296414227109,59.35800886154175,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0.0,1.5020370483398438e-05,1,0.0027189254760742,0.0027189254760742,1,0.0099618434906005,0.0099618434906005,5,0.0263218879699707,0.0329458713531494,0.0066239833831787005,0.2010565546188079,"3,3,4,5,6,6,6,6,6","1,2,2,1","[(3, 3, 4)]","(1, 2)",2,2,1,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0014193058013915773,0.625,1.3636971984676036,0.003943920135498011,0.0013878345489501988,4.692077636718958e-05,0.009706211090087903,0.011798119544982945,0.0006960630416869996,0.004639983177185011,5.993781137261631,0.00506070654583781,0.3402262594262031,0.0037110192435128283,0.000701785087585444,0.013890027999878,1,0.013890027999878,0.14285714285714285,0.013890027999878,1.33411045963049,0.0069169998168945,0.26627262381144606,0,0,0.0259771347045898,1.0,0.0,0.0,0.0023629665374755218,0.09096332464480844,0.0069169998168945,0.26627262381144606,13.530189990997314,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.7179718017578125e-05,1,0.0023901462554931,0.0023901462554931,1,0.0093071460723876,0.0093071460723876,4,0.0231971740722656,0.0259771347045898,0.002779960632324198,0.10701567605271792,"3,3,4,5,6,6,6,6","1,2,2,2,1","[(3, 3, 4)]","(1, 2)",2,3,1,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0019018650054931016,0.5,0.7832578199395328,0.004872083663940497,0.0040681362152099,0.0007671356201171605,0.0072076320648193585,0.007362842559814478,0.0018699169158935026,0.006742000579834,0.7717283010022005,0.0031690697326511876,-1.5122080274972207,0.00404601097106932,0.0009509325027465508,0.007518053054809598,1,0.007518053054809598,0.2,0.007518053054809598,-0.11882981634634625,0.006742000579834,0.33326654959871044,0,0,0.0202300548553466,1.0,0.0,0.0,0.0040681362152099,0.20109368186585677,0.006742000579834,0.33326654959871044,5.002319097518921,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,1,0.0040681362152099,0.0040681362152099,1,0.0108101367950439,0.0108101367950439,3,0.0183281898498535,0.0202300548553466,0.0019018650054931016,0.09401185607712072,"3,4,5,6,6,6","1,2,2,2",[],"(1, 2)",1,3,0,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0013778209686279817,0.75,0.990711325996435,0.004037618637084909,0.002671957015991197,4.668235778809219e-05,0.006867170333862319,0.007064580917358409,0.0006754398345947526,0.0047130584716796615,1.5700901222450443,0.002935036994610374,-1.2428742091752778,0.0029625552041190003,0.0010124444961547947,0.007261991500854499,1,0.007261991500854499,0.14285714285714285,0.007261991500854499,0.5219432080819494,0.0066039562225342,0.31844885664685496,0,0,0.020737886428833,1.0,0.0,0.0,0.0028221607208251233,0.13608719145560183,0.0066039562225342,0.31844885664685496,12.388416051864624,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.694129943847656e-05,1,0.0028491020202636,0.0028491020202636,1,0.0094530582427978,0.0094530582427978,4,0.0167150497436523,0.020737886428833,0.004022836685180702,0.1939848932525513,"3,3,4,5,6,6,6,6","1,2,2,2,1","[(3, 3, 4)]","(1, 2)",2,3,1,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0041098594665527136,0.7142857142857143,1.033120402237828,0.004081904888153122,0.002755045890808096,0.0009584426879882552,0.009946942329406749,0.011436522006988524,0.0019732117652892754,0.0060551166534423976,2.6104452425252207,0.004704289958208281,-0.3270003773235248,0.004553476969401033,0.0013699531555175712,0.012926101684570299,1,0.012926101684570299,0.16666666666666666,0.012926101684570299,0.9973212254100475,0.0069677829742432005,0.255035255515221,0,0,0.0273208618164062,1.0,0.0,0.0,0.003317117691039989,0.12141336218933098,0.0069677829742432005,0.255035255515221,9.314477920532228,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,1.6927719116210938e-05,1,0.0033340454101562,0.0033340454101562,1,0.0103018283843994,0.0103018283843994,3,0.0232279300689697,0.0273208618164062,0.004092931747436503,0.1498097598436186,"3,3,4,5,6,6,6",1,"[(3, 3, 4)]","(1, 2)",1,0,0,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.002455949783325209,0.625,1.0908665441947727,0.0034625530242919453,0.0019080638885498012,0.0006668090820312834,0.00825862884521486,0.009335303306579626,0.0012120008468628,0.004674553871154745,3.3282768961639553,0.0037596090818807267,-0.3945594173801381,0.0034464427403041284,0.0010910034179687526,0.010411977767944398,1,0.010411977767944398,0.14285714285714285,0.010411977767944398,1.0492010845713975,0.0068230628967285,0.282820097244732,0,0,0.0241250991821289,1.0,0.0,0.0,0.0025260448455809905,0.10470609163141611,0.0068230628967285,0.282820097244732,6.234461069107056,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,3.1948089599609375e-05,1,0.0025579929351806,0.0025579929351806,1,0.0093810558319091,0.0093810558319091,4,0.0197930335998535,0.0241250991821289,0.004332065582275401,0.17956674704510464,"3,3,4,5,6,6,6,6","1,2,2,2,1","[(3, 3, 4)]","(1, 2)",2,3,1,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.002203702926635756,0.7142857142857143,1.4381160555819597,0.004895687103271486,0.0021184682846069215,0.0005453824996948277,0.014012575149536098,0.01754927635192865,0.0010896921157836983,0.0059853792190551845,5.61448427212877,0.007994211961725195,0.5202800064425848,0.005558808644612616,0.0007345676422119187,0.0210859775543212,1,0.0210859775543212,0.16666666666666666,0.0210859775543212,1.4508167013032593,0.006939172744750999,0.2080533554456307,0,0,0.0333528518676757,1.0,0.0,0.0,0.003123998641967742,0.09366511308723803,0.006939172744750999,0.2080533554456307,6.198917865753174,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,8.821487426757812e-06,1,0.0031328201293945,0.0031328201293945,1,0.0100719928741455,0.0100719928741455,3,0.0311579704284667,0.0333528518676757,0.0021948814392089983,0.06580790895833986,"3,3,4,5,6,6,6","1,2,2,2,1","[(3, 3, 4)]","(1, 2)",2,3,1,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0043368339538573,0.7142857142857143,1.1425556157256678,0.003975033760070889,0.003162622451782221,0.0007723569869994788,0.0113304853439331,0.01370126008987425,0.0018499493598937353,0.005824983119964625,2.582623445156431,0.005813880838051069,0.23860643167972917,0.0050884882609049335,0.0016926129659016857,0.016072034835815402,1,0.016072034835815402,0.16666666666666666,0.016072034835815402,1.2671938290312768,0.0065889358520507995,0.21581183232335974,0,0,0.0305309295654296,1.0,0.0,0.0,0.002792119979858342,0.09145217717248545,0.0065889358520507995,0.21581183232335974,6.088867902755737,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,8.821487426757812e-06,1,0.0028009414672851,0.0028009414672851,1,0.0093898773193359,0.0093898773193359,3,0.0254619121551513,0.0305309295654296,0.0050690174102782995,0.16602892484537993,"3,3,4,5,6,6,6","2,2","[(3, 3, 4)]","(1, 2)",0,2,0,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.002269268035888644,0.7142857142857143,0.9768642676584263,0.005230545997619639,0.002861499786376927,2.8133392333972232e-05,0.0072219371795654505,0.0075449943542480755,0.0005788207054137993,0.005809366703033439,1.523829361773068,0.0032925439243047592,-1.4354685531805487,0.0033705234527587834,0.000756422678629548,0.0078680515289307,1,0.0078680515289307,0.16666666666666666,0.0078680515289307,0.2926442381221011,0.0065758228302002005,0.3251632831105146,0,0,0.0202231407165527,1.0,0.0,0.0,0.0035099983215331546,0.17356346230930444,0.0065758228302002005,0.3251632831105146,6.223093986511231,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,2.2172927856445312e-05,1,0.0035321712493896,0.0035321712493896,1,0.0101079940795898,0.0101079940795898,3,0.0179760456085205,0.0202231407165527,0.002247095108032199,0.11111504090919691,"3,3,4,5,6,6,6","1,1","[(3, 3, 4)]","(1, 2)",2,0,0,2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.003238916397094678,0.625,1.0019730250998264,0.003965973854064961,0.0023040771484375,0.0009191513061523313,0.009004259109497061,0.010265183448791475,0.0016059875488281007,0.005571961402893062,2.907967715231784,0.004038384163453322,-0.3609617458065717,0.004030432019914885,0.0013857483863830445,0.011526107788085898,1,0.011526107788085898,0.14285714285714285,0.011526107788085898,0.9809939397196655,0.007323026657104501,0.2595619179610268,0,0,0.0282130241394042,1.0,0.0,0.0,0.0038208961486816233,0.13543022292832138,0.007323026657104501,0.2595619179610268,9.25547695159912,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.694129943847656e-05,1,0.0038478374481201,0.0038478374481201,1,0.0111708641052246,0.0111708641052246,4,0.0226969718933105,0.0282130241394042,0.005516052246093701,0.19551439146821603,"3,3,4,5,6,6,6,6","1,2,2,2,1","[(3, 3, 4)]","(1, 2)",2,3,1,2,1,1,0,0,0,D0,NOPR,D0NOPR
