Label,A_Burst_Duration,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Silence_Avg_Duration,A_Silence_Count,A_Silence_Max_Duration,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Dst_One_Count,First_Stage_Time_Diff,Gap_23_Time,Gap_34_Time,Gap_45_Time,Next_Packet_After_First_Stage,Probe_Time,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_Sequence,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Class_Level1,Class_Level2,Final_Class
HONOR-60SE_1,0.0033428668975829,1.3244753032248162,0.0032798647880554,0.0023379325866699,2.4032592773379213e-05,0.0099780559539794,0.0131690502166748,0.0010029673576354,0.0042828321456909,0.0054544991188085,1.2798624349777177,0.0041182339191436,0.0163600444793702,1,0.0163600444793702,0.0163600444793702,1.5928748650183908,0.0072429180145262,0,0.0329458713531494,0.0,0.0027039051055908,0.0072429180145262,59.35800886154175,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0.0,1.5020370483398438e-05,1,0.0027189254760742,0.0027189254760742,1,0.0099618434906005,0.0099618434906005,5,0.0263218879699707,0.0329458713531494,0.0066239833831787,"3,3,4,5,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0014193058013915,1.3636971984676036,0.003943920135498,0.0013878345489501,4.692077636718958e-05,0.0097062110900879,0.0117981195449829,0.0006960630416869,0.004639983177185,0.0050607065458378,0.3402262594262031,0.0037110192435128,0.013890027999878,1,0.013890027999878,0.013890027999878,1.33411045963049,0.0069169998168945,0,0.0259771347045898,0.0,0.0023629665374755,0.0069169998168945,13.530189990997314,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.7179718017578125e-05,1,0.0023901462554931,0.0023901462554931,1,0.0093071460723876,0.0093071460723876,4,0.0231971740722656,0.0259771347045898,0.0027799606323241,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0019018650054931,0.7832578199395328,0.0048720836639404,0.0040681362152099,0.0007671356201171,0.0072076320648193,0.0073628425598144,0.0018699169158935,0.006742000579834,0.0031690697326511,-1.5122080274972207,0.0040460109710693,0.0075180530548095,1,0.0075180530548095,0.0075180530548095,-0.1188298163463462,0.006742000579834,0,0.0202300548553466,0.0,0.0,0.006742000579834,5.002319097518921,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,1,0.0040681362152099,0.0040681362152099,1,0.0108101367950439,0.0108101367950439,3,0.0183281898498535,0.0202300548553466,0.0019018650054931,"3,4,5,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0013778209686279,0.990711325996435,0.0040376186370849,0.0026719570159911,4.668235778809219e-05,0.0068671703338623,0.0070645809173584,0.0006754398345947,0.0047130584716796,0.0029350369946103,-1.2428742091752778,0.002962555204119,0.0072619915008544,1,0.0072619915008544,0.0072619915008544,0.5219432080819494,0.0066039562225342,0,0.020737886428833,0.0,0.0028221607208251,0.0066039562225342,12.388416051864624,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.694129943847656e-05,1,0.0028491020202636,0.0028491020202636,1,0.0094530582427978,0.0094530582427978,4,0.0167150497436523,0.020737886428833,0.0040228366851807,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0041098594665527,1.033120402237828,0.0040819048881531,0.002755045890808,0.0009584426879882,0.0099469423294067,0.0114365220069885,0.0019732117652892,0.0060551166534423,0.0047042899582082,-0.3270003773235248,0.004553476969401,0.0129261016845702,1,0.0129261016845702,0.0129261016845702,0.9973212254100476,0.0069677829742432,0,0.0273208618164062,0.0,0.0033171176910399,0.0069677829742432,9.314477920532228,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,1.6927719116210938e-05,1,0.0033340454101562,0.0033340454101562,1,0.0103018283843994,0.0103018283843994,3,0.0232279300689697,0.0273208618164062,0.0040929317474365,"3,3,4,5,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0024559497833252,1.0908665441947727,0.0034625530242919,0.0019080638885498,0.0006668090820312,0.0082586288452148,0.0093353033065796,0.0012120008468628,0.0046745538711547,0.0037596090818807,-0.3945594173801381,0.0034464427403041,0.0104119777679443,1,0.0104119777679443,0.0104119777679443,1.0492010845713975,0.0068230628967285,0,0.0241250991821289,0.0,0.0025260448455809,0.0068230628967285,6.234461069107056,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,3.1948089599609375e-05,1,0.0025579929351806,0.0025579929351806,1,0.0093810558319091,0.0093810558319091,4,0.0197930335998535,0.0241250991821289,0.0043320655822754,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0022037029266357,1.4381160555819597,0.0048956871032714,0.0021184682846069,0.0005453824996948,0.014012575149536,0.0175492763519286,0.0010896921157836,0.0059853792190551,0.0079942119617251,0.5202800064425848,0.0055588086446126,0.0210859775543212,1,0.0210859775543212,0.0210859775543212,1.4508167013032591,0.0069391727447509,0,0.0333528518676757,0.0,0.0031239986419677,0.0069391727447509,6.198917865753174,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,8.821487426757812e-06,1,0.0031328201293945,0.0031328201293945,1,0.0100719928741455,0.0100719928741455,3,0.0311579704284667,0.0333528518676757,0.0021948814392089,"3,3,4,5,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0043368339538573,1.1425556157256678,0.0039750337600708,0.0031626224517822,0.0007723569869994,0.0113304853439331,0.0137012600898742,0.0018499493598937,0.0058249831199646,0.005813880838051,0.2386064316797291,0.0050884882609049,0.0160720348358154,1,0.0160720348358154,0.0160720348358154,1.2671938290312768,0.0065889358520507,0,0.0305309295654296,0.0,0.0027921199798583,0.0065889358520507,6.088867902755737,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,8.821487426757812e-06,1,0.0028009414672851,0.0028009414672851,1,0.0093898773193359,0.0093898773193359,3,0.0254619121551513,0.0305309295654296,0.0050690174102782,"3,3,4,5,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0022692680358886,0.9768642676584264,0.0052305459976196,0.0028614997863769,2.8133392333972232e-05,0.0072219371795654,0.007544994354248,0.0005788207054137,0.0058093667030334,0.0032925439243047,-1.435468553180549,0.0033705234527587,0.0078680515289307,1,0.0078680515289307,0.0078680515289307,0.2926442381221011,0.0065758228302002,0,0.0202231407165527,0.0,0.0035099983215331,0.0065758228302002,6.223093986511231,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,2.2172927856445312e-05,1,0.0035321712493896,0.0035321712493896,1,0.0101079940795898,0.0101079940795898,3,0.0179760456085205,0.0202231407165527,0.0022470951080321,"3,3,4,5,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_1,0.0032389163970946,1.0019730250998264,0.0039659738540649,0.0023040771484375,0.0009191513061523,0.009004259109497,0.0102651834487914,0.0016059875488281,0.005571961402893,0.0040383841634533,-0.3609617458065717,0.0040304320199148,0.0115261077880858,1,0.0115261077880858,0.0115261077880858,0.9809939397196656,0.0073230266571045,0,0.0282130241394042,0.0,0.0038208961486816,0.0073230266571045,9.25547695159912,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.694129943847656e-05,1,0.0038478374481201,0.0038478374481201,1,0.0111708641052246,0.0111708641052246,4,0.0226969718933105,0.0282130241394042,0.0055160522460937,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0012321472167969,2.786936134429092,0.0095119476318359,0.0016860961914061,1.0013580322265623e-06,0.0357767105102538,0.1271322250366207,1.0013580322210114e-05,0.0095219612121582,0.0701836146062108,7.509564882754722,0.0251830724569467,0.2556498050689696,1,0.2556498050689696,0.2556498050689696,3.038237348079757,0.0095219612121582,0,0.3273799419403076,0.0,0.0130681991577149,0.0095219612121582,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,5,0.0,0.255652904510498,1,0.2687211036682129,0.2687211036682129,1,0.2782430648803711,0.2782430648803711,7,0.3196969032287597,0.3273799419403076,0.0076830387115479,"3,3,3,3,3,4,5,6,6,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,5.67436218261632e-05,1.603228707550578,0.0039780139923095,0.0006570816040038,8.106231689412186e-06,0.0066809177398682,0.010330581665039,1.096725463870657e-05,0.0039889812469482,0.0043805235955953,2.9387968888214333,0.0027323135962853,0.0151090621948241,1,0.0151090621948241,0.0151090621948241,1.917281905220361,0.0081939697265625,0,0.0355200767517089,0.0,0.0039889812469482,0.0071449279785157,6.349765062332153,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,2,0.0,9.059906005859377e-06,4,0.0039980411529541,0.0050470829010009,1,0.0121920108795166,0.0121920108795166,7,0.0170168876647949,0.0355200767517089,0.018503189086914,"3,3,4,4,4,4,5,6,6,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0039119720458984,0.9012201740259896,0.0028764605522155,0.0023775100708008,0.0007453918457031,0.007126498222351,0.0075586676597594,0.0012980699539184,0.004174530506134,0.0028459486621608,-0.8867575514681412,0.0031578838825225,0.0079908370971679,1,0.0079908370971679,0.0079908370971679,0.7190998670248949,0.0067560672760009,0,0.0252630710601806,0.0,0.0033140182495117,0.0067560672760009,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0.0,0.0010700225830078,1,0.0043840408325195,0.0043840408325195,1,0.0111401081085205,0.0111401081085205,4,0.0191309452056884,0.0252630710601806,0.0061321258544922,"3,3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0077140331268309,1.598325238821011,0.0273333191871642,0.0091264247894286,0.0012410640716552,0.0846156358718871,0.1106633782386778,0.0018784999847412,0.0292118191719055,0.0477763720232487,1.194671167134449,0.0298915207386016,0.1367111206054687,1,0.1367111206054687,0.1367111206054687,1.6234803246949832,0.018186092376709,0,0.2391321659088134,0.0,0.0142319202423095,0.018186092376709,6.51476001739502,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0.0,0.1367111206054687,1,0.1509430408477783,0.1509430408477783,1,0.1691291332244873,0.1691291332244873,5,0.2314181327819824,0.2391321659088134,0.0077140331268309,"3,3,4,5,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0047969818115234,2.0805181441679186,0.027638554573059,0.0080399513244628,0.0011391162872314,0.1501133918762207,0.2286222219467161,0.0018759965896606,0.0295145511627197,0.1126443310123002,1.98359976804912,0.0541424410683768,0.3071310520172119,1,0.3071310520172119,0.3071310520172119,1.963714819347497,0.0080399513244628,0,0.3789970874786377,0.0,0.0135941505432128,0.0080399513244628,6.696317195892334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,0.3071310520172119,1,0.3207252025604248,0.3207252025604248,1,0.3287651538848877,0.3287651538848877,4,0.3742001056671142,0.3789970874786377,0.0047969818115234,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0037918090820312,0.8078245843689712,0.0030598044395446,0.0028190612792968,7.009506225619938e-06,0.0057188034057617,0.0059214115142822,0.001305341720581,0.0043651461601257,0.0023255052537481,-1.317019307387384,0.002878725528717,0.0061240196228027,1,0.0061240196228027,0.0061240196228027,0.0649405060878465,0.0061240196228027,0,0.0230298042297363,0.0,0.0039718151092528,0.0061240196228027,6.323453903198242,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0.0,5.0067901611328125e-06,1,0.003976821899414,0.003976821899414,1,0.0101008415222167,0.0101008415222167,5,0.0156459808349609,0.0230298042297363,0.0073838233947754,"3,3,4,5,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0035951137542723,1.6325955837412265,0.0151576995849609,0.0036840438842773,1.1682510375962685e-06,0.0228437662124633,0.0440833210945129,0.0004360079765319,0.0155937075614929,0.0199535896516346,3.2653637808144653,0.0122220039367675,0.0653228759765625,1,0.0653228759765625,0.0653228759765625,2.0928762146327853,0.0181238651275635,0,0.1222200393676757,0.0,0.0133161544799804,0.0181238651275635,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,2,0.0,0.0653228759765625,1,0.0786390304565429,0.0786390304565429,1,0.0967628955841064,0.0967628955841064,7,0.1022720336914062,0.1222200393676757,0.0199480056762695,"3,3,4,5,6,6,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
