Label,A_Burst_Duration,A_Burst_Rate,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_Skew_Ratio,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Retran_intervals,A_Silence_Avg_Duration,A_Silence_Count,A_Silence_Max_Duration,A_Silence_Rate,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Assoc_Time_Ratio,Dst_One_Count,Dst_One_Exist,First_Stage_Time_Diff,First_Stage_Time_Diff_Ratio,Gap_23_Time,Gap_23_Time_Ratio,Gap_34_Time,Gap_34_Time_Ratio,Gap_45_Time,Gap_45_Time_Ratio,Next_Packet_After_First_Stage,Probe_Time,Probe_Time_Ratio,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_6_Time_Ratio,Type_Sequence,Type_Sequence_In_Range,excess,lack,Range_1,Range_2,Range_1_2,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Class_Level1,Class_Level2,Final_Class
HUAWEI-mate60pro,0.002019405364990335,0.7058823529411765,2.80557846027627,0.003568887710571283,0.0010550022125244002,1.5020370483400064e-05,0.020767450332641598,0.051582932472229,3.117322921752843e-05,0.0036000609397888114,18.68474576271212,0.03444745119489132,9.976798724272182,0.012278199195861813,0.000869194666544601,0.1388587951660156,1,0.1388587951660156,0.0625,0.1388587951660156,3.387059287726891,0.006701946258544894,0.007161721401648975,2,1,0.9358010292053224,1.0,-0.001193046569824191,-0.0012748934149359936,0.001957178115844699,0.002091446851161005,0.006701946258544894,0.007161721401648975,0,0.1610801219940185,0.17213073823054773,0,2,1,0,0,0,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.0,0.1589419841766357,7,3.409385681152344e-05,0.1610801219940185,2,0.1598870754241943,0.1610870361328125,1,0.1630442142486572,0.1630442142486572,1,0.1697461605072021,0.1697461605072021,3,0.1922371387481689,0.196451187133789,0.004214048385620117,0.004503145705234655,"1,2,2,2,1,2,2,1,3,2,2,3,4,5,6,6,6",,"[(2, 2, 2, 1, 2, 2, 1, 3), (3, 2, 2, 3, 4)]",(),0,0,0,0,0,0,0,0,0,D1,PR,D1PR
HUAWEI-mate60pro,0.003410100936889787,0.6521739130434783,3.6470003300241363,0.002729654312133743,0.0011744499206542969,1.5115737915039062e-05,0.006894826889038165,0.01817896366119379,2.1517276763978466e-05,0.0027511715888977216,4.87068615509548,0.03695108567092457,16.55571238716973,0.010131911797956986,0.001173939023699081,0.09665250778198241,2,0.1745419502258301,0.09090909090909091,0.19330501556396482,4.279791019189655,0.0070810317993164895,0.03176745792951084,1,1,0.2229020595550537,1.0,-0.0022370815277099887,-0.010036163560693617,0.0012109279632568082,0.0054325561893595956,0.0070810317993164895,0.03176745792951084,1.011112928390503,0.1823580265045166,0.8181083067089234,6,1,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,8,0.0,0.1801149845123291,6,2.5987625122070312e-05,0.1823580265045166,2,0.1801209449768066,0.1860580444335937,1,0.1872689723968505,0.1872689723968505,1,0.194350004196167,0.194350004196167,5,0.2131130695343017,0.2229020595550537,0.009788990020752009,0.043916103961947756,"1,2,2,2,1,1,1,1,1,1,1,3,2,2,2,3,4,5,6,6,6,6,6","1,2,2,2","[(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3), (3, 2, 2, 2, 3, 4)]",(),1,3,0,0,0,0,0,0,0,D1,PR,D1PR
HUAWEI-mate60pro,0.0030612945556640035,0.6470588235294118,2.9024145656978377,0.00359022617340084,0.0011914968490600465,1.096725463869963e-05,0.019215583801269503,0.05506330728530883,2.6762485504154727e-05,0.0036169886589049946,15.127263631816051,0.03821391228799178,10.298962887407678,0.013166248798370358,0.0007740020751953007,0.1544568538665772,1,0.1544568538665772,0.0625,0.1544568538665772,3.452984309786472,0.007027864456176786,0.007493831196730067,2,1,0.9378199577331544,1.0,-0.0011820793151854914,-0.001260454424581395,0.0024800300598143976,0.0026444628730326733,0.007027864456176786,0.007493831196730067,9.982018947601318,0.1763851642608642,0.18807998572264606,0,3,0,0,0,0,2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.0,0.1751699447631836,7,0.0019710063934326,0.1763851642608642,2,0.1752030849456787,0.1763920783996582,1,0.1788721084594726,0.1788721084594726,1,0.1858999729156494,0.1858999729156494,3,0.2078320980072021,0.2106599807739257,0.002827882766723605,0.003015379171028738,"1,2,1,2,2,2,1,2,3,2,2,3,4,5,6,6,6","1,2,2","[(2, 1, 2, 2, 2, 1, 2, 3), (3, 2, 2, 3, 4)]",(),1,2,0,0,0,0,0,0,0,D1,PR,D1PR
HUAWEI-mate60pro,0.0032789707183838957,0.6875,2.647012633334501,0.00794947147369385,0.001365900039672796,2.2411346435559367e-05,0.016668558120727473,0.05461401939392073,0.0005165338516235476,0.008466005325317397,11.203351370222126,0.03522341635329688,9.409944744868355,0.013306856155395508,0.0032386779785156224,0.13897109031677252,1,0.13897109031677252,0.06666666666666667,0.13897109031677252,3.325430427524432,0.1718878746032714,0.18022528973662028,2,1,0.9537389278411864,1.0,0.0011560916900635043,0.0012121678756264556,-0.1636550426483154,-0.17159312456581066,0.1718878746032714,0.18022528973662028,0,0.1624538898468017,0.17033370989115484,0,3,0,0,0,0,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0.0,0.1610879898071289,6,2.002716064453125e-05,0.1624538898468017,2,0.1636099815368652,0.1636550426483154,0,0,0,1,0.1718878746032714,0.1718878746032714,4,0.1805870532989502,0.1996028423309326,0.019015789031982394,0.019938149190392326,"1,2,2,2,1,2,2,1,2,3,3,5,6,6,6,6",,"[(2, 2, 2, 1, 2, 2, 1, 2, 3), (3, 3, 5, 5)]","(4,)",0,0,0,1,0,0,0,1,0,D1,PR,D1PR
HUAWEI-mate60pro,0.0013639926910400113,0.625,2.86827908704474,0.0067309141159057895,0.0013201236724854001,9.250640869168382e-06,0.01726012229919432,0.061464166641235204,2.4080276489257812e-05,0.006754994392395047,12.074625248328928,0.04182888765912929,9.555385838895088,0.014583269755045572,0.0042598724365234385,0.164254903793335,1,0.164254903793335,0.06666666666666667,0.164254903793335,3.3584632536006955,0.1968080997467041,0.8996980926430518,2,1,0.2187490463256836,1.0,-0.0012800693511963168,-0.0058517711171663395,-0.1878280639648437,-0.8586463215258853,0.1968080997467041,0.8996980926430518,1.0111651420593262,0.1878211498260498,0.8586147138964577,0,3,0,0,0,0,2,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0.0,0.186506986618042,8,3.1948089599609375e-05,0.1878211498260498,2,0.1865410804748535,0.1878280639648437,0,0,0,1,0.1968080997467041,0.1968080997467041,2,0.2013380527496338,0.2187490463256836,0.017410993576049805,0.07959346049046322,"1,2,2,1,2,2,2,1,2,3,2,2,3,5,6,6","1,2,2,2","[(2, 2, 1, 2, 2, 2, 1, 2, 3), (3, 2, 2, 3, 5, 5)]","(4,)",1,3,0,1,0,0,0,1,0,D1,PR,D1PR
HUAWEI-mate60pro,0.004720926284789892,0.6470588235294118,2.7333801749485396,0.0035288929939270687,0.0013974905014038528,3.099441528319987e-05,0.017317533493042,0.044692754745483426,0.0007825493812560508,0.004311442375183119,11.391879211805463,0.030689890600759908,10.157090077497692,0.011227816343307493,0.0013592924390520302,0.1243929862976075,1,0.1243929862976075,0.0625,0.1243929862976075,3.423047265832976,0.006247997283935602,0.03477967739281186,2,1,0.1796450614929199,1.0,-0.0012168884277344028,-0.006773848485572548,0.003794908523559598,0.021124480083239926,0.006247997283935602,0.03477967739281186,9.983598947525024,0.1472399234771728,0.8196157592841803,0,2,1,0,0,0,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0.0,0.1459970474243164,7,0.001033067703247,0.1472399234771728,1,0.1460230350494384,0.1460230350494384,1,0.149817943572998,0.149817943572998,1,0.1560659408569336,0.1560659408569336,4,0.1725749969482422,0.1796450614929199,0.007070064544677707,0.03935574118165419,"1,2,2,2,1,2,2,1,3,2,2,4,5,6,6,6,6","1,2,2,2","[(2, 2, 2, 1, 2, 2, 1, 3), (3, 2, 2, 4)]",(),1,3,0,0,0,0,0,0,0,D1,PR,D1PR
HUAWEI-mate60pro,0.002297401428222618,0.6666666666666666,2.952600319279696,0.006891012191772513,0.0011949539184570868,2.4032592773437503e-05,0.016925525665283166,0.04613628387451159,3.409385681149915e-05,0.006925106048584012,13.16416600159548,0.03677534269377286,11.358177527881594,0.012455239015467023,0.0017078187730577333,0.1534538269042969,1,0.1534538269042969,0.058823529411764705,0.1534538269042969,3.6057862146471518,0.006925106048584012,0.007102498149550577,1,1,0.9750239849090576,1.0,3.0994415283203125e-05,3.1788361889470886e-05,0.0012497901916503074,0.001281804561727656,0.006925106048584012,0.007102498149550577,9.98189902305603,0.1557219028472901,0.159710843279219,0,2,0,0,0,0,2,4,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0.0193409919738769,0.1738379001617431,7,0.0,0.175062894821167,3,0.1750938892364502,0.176253080368042,1,0.1775028705596923,0.1775028705596923,1,0.1844279766082763,0.1844279766082763,4,0.199765920639038,0.2117390632629394,0.011973142623901395,0.012279844197902632,"2,2,1,2,2,2,1,2,2,3,3,3,4,5,6,6,6,6","2,2","[(2, 2, 1, 2, 2, 2, 1, 2, 2, 3), (3, 3, 3, 4)]",(),0,2,0,0,0,0,0,0,0,D1,PR,D1PR
HUAWEI-mate60pro,0.006721735000610382,0.6875,2.663526378046307,0.0076826810836792495,0.0015728473663330078,0.0010196208953857921,0.01611213684082028,0.05681819915771466,0.0011059045791625478,0.008788585662841797,9.243929058663008,0.03681682596932962,9.510668229663507,0.013822587331136067,0.0025424361228942875,0.1454410552978515,1,0.1454410552978515,0.06666666666666667,0.1454410552978515,3.3484956303446536,0.006338119506835882,0.006530227233926469,1,1,0.9705817699432372,1.0,-0.0037579536437989114,-0.0038718568184303408,0.004905939102172907,0.005054637593759691,0.006338119506835882,0.006530227233926469,9.979605913162231,0.1526670455932618,0.1572943674824948,0,1,0,0,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0199267864227294,0.0199267864227294,8,0.0,0.1725938320159912,1,0.1688358783721923,0.1688358783721923,1,0.1737418174743652,0.1737418174743652,1,0.1800799369812011,0.1800799369812011,4,0.1921048164367675,0.207338809967041,0.015233993530273493,0.015695734251390717,"2,2,2,1,2,2,2,3,2,2,4,5,6,6,6,6","2,2","[(2, 2, 2, 1, 2, 2, 2, 3), (3, 2, 2, 4)]",(),0,2,0,0,0,0,0,0,0,D1,PR,D1PR
HUAWEI-mate60pro,0.004018068313598699,0.6666666666666666,2.7276049517917342,0.00589573383331298,0.0012400150299072491,1.4758110046386718e-05,0.023381209373474137,0.07792267799377436,0.0007923841476440516,0.006688117980957031,17.85558546433345,0.04599812565414516,8.42179124198458,0.016863925116402757,0.0011624892552693621,0.17444300651550287,1,0.17444300651550287,0.07142857142857142,0.17444300651550287,3.1766237119084857,0.206683874130249,0.8754269106714037,2,1,0.2360949516296386,1.0,1.6927719116210938e-05,7.169877627356216e-05,-0.1989200115203857,-0.8425424184098221,0.206683874130249,0.8754269106714037,1.0130760669708252,0.1988980770111084,0.8424495129532426,0,3,0,0,0,0,2,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0.0,0.1967990398406982,7,0.0017709732055664,0.1988980770111084,2,0.1989150047302246,0.1989200115203857,0,0,0,1,0.206683874130249,0.206683874130249,2,0.2326340675354004,0.2360949516296386,0.003460884094238198,0.014658865301225399,"1,2,1,2,2,2,1,2,2,2,3,3,5,6,6","1,2,2,2","[(2, 1, 2, 2, 2, 1, 2, 2, 2, 3), (3, 3, 5, 5)]","(4,)",1,3,0,1,0,0,0,1,0,D1,PR,D1PR
HUAWEI-mate60pro,0.005414247512817282,0.7333333333333333,2.785187189440974,0.005719065666198746,0.0016024112701415565,2.1195411682140356e-05,0.017150235176086444,0.07301801443099971,0.0011822581291198505,0.006901323795318597,9.70276744532095,0.04609602253985853,8.713315309846521,0.016550421714782715,0.0020511547724405836,0.1754708290100098,1,0.1754708290100098,0.07142857142857142,0.1754708290100098,3.241961517983756,0.006767034530639704,0.029205274503650513,1,1,0.231705904006958,1.0,8.106231689508636e-06,3.4985002752736113e-05,0.0012400150299071988,0.00535167645046266,0.006767034530639704,0.029205274503650513,1.026336908340454,0.1780579090118408,0.768465135901301,0,2,0,0,0,0,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.0194170475006103,0.1960909366607666,5,0.0,0.1974749565124511,3,0.1974830627441406,0.1991350650787353,1,0.2003750801086425,0.2003750801086425,1,0.2071421146392822,0.2071421146392822,3,0.2226569652557373,0.231705904006958,0.009048938751220703,0.03905355277847805,"2,2,1,2,2,1,2,3,3,3,4,5,6,6,6","1,2,2","[(2, 2, 1, 2, 2, 1, 2, 3), (3, 3, 3, 4)]",(),1,2,0,0,0,0,0,0,0,D1,PR,D1PR
