Time,Dst,Type
0.0,0,1
2.8133392333984375e-05,0,1
0.019604206085205078,0,3
0.01961517333984375,0,3
0.03545403480529785,0,3
0.050791025161743164,0,4
0.05079817771911621,0,4
0.0522761344909668,0,4
0.05230402946472168,0,4
0.06632113456726074,0,5
0.1737210750579834,0,6
0.17457103729248047,0,6
0.1990339756011963,0,6
0.20349407196044922,0,6
5.882501125335693,1,1
5.88255500793457,0,2
5.884687185287476,0,2
5.902338981628418,1,1
5.902368068695068,0,2
5.903550148010254,0,2
5.903578042984009,0,2
15.829477071762085,1,1
15.849179983139038,1,1
25.930670022964478,0,2
25.932936191558838,0,2
25.949886083602905,1,1
25.94991898536682,0,2
25.951163053512573,0,2
25.95119309425354,0,2
