Time,Dst,Type
0.0,0,1
2.8133392333984375e-05,0,2
0.00127410888671875,0,2
0.001316070556640625,0,2
0.002498149871826172,0,3
0.003704071044921875,0,3
0.008138179779052734,0,4
0.014018058776855469,0,5
0.028655052185058594,0,6
0.05190014839172363,0,6
1.960982084274292,0,2
1.9610111713409424,0,2
1.9622581005096436,0,2
11.07473611831665,1,1
11.07476806640625,0,2
11.07558012008667,0,2
19.663443088531494,1,1
19.663475036621094,0,2
19.68234395980835,0,2
19.6839439868927,0,2
19.684832096099854,0,2
22.538724184036255,0,2
22.538750171661377,0,2
22.540101051330566,0,2
