Time,Dst,Type
0.0,0,1
2.6941299438476562e-05,0,2
0.0009999275207519531,0,2
0.0010290145874023438,0,2
0.07581090927124023,0,3
0.07583785057067871,0,3
0.07937288284301758,0,4
0.07939887046813965,0,4
0.07940387725830078,0,4
0.08061599731445312,0,4
0.10198783874511719,0,6
0.10461091995239258,0,6
0.10629582405090332,0,6
0.10981082916259766,0,6
9.445030927658081,1,1
9.445075988769531,0,2
9.447301864624023,0,2
9.44733190536499,0,2
12.733115911483765,1,1
12.733137845993042,0,2
12.73419189453125,0,2
12.734211921691895,0,2
19.411635875701904,0,2
19.412479877471924,0,2
19.42415690422058,1,1
19.42589783668518,0,2
19.425920009613037,0,2
19.42722201347351,0,2
26.988147974014282,1,1
26.988179922103882,0,2
26.98876190185547,0,2
26.988790035247803,0,2
27.00145697593689,1,1
27.001489877700806,0,2
27.002944946289062,0,2
27.002975940704346,0,2
29.77737784385681,1,1
29.77740788459778,0,2
29.77819299697876,0,2
29.778209924697876,0,2
