Time,Dst,Type
0.0,0,1
8.106231689453125e-06,0,2
0.0008640289306640625,0,2
0.0031080245971679688,0,3
0.003114938735961914,0,3
0.0054280757904052734,0,4
0.021958112716674805,0,6
0.02857208251953125,0,6
0.03220701217651367,0,6
0.03571796417236328,0,6
5.717315912246704,1,1
5.717343091964722,0,2
5.718379974365234,0,2
5.719671010971069,0,2
5.7379560470581055,1,1
5.737977027893066,0,2
5.738824129104614,0,2
5.738836050033569,0,2
15.836853981018066,1,1
15.836863994598389,0,2
15.83975601196289,0,2
15.856045007705688,1,1
