Time,Dst,Type
0.0,0,3
1.0967254638671875e-05,0,3
0.001043081283569336,0,4
0.008322000503540039,0,5
0.012001991271972656,0,6
0.015257120132446289,0,6
0.020756959915161133,0,6
0.022073984146118164,0,6
12.66904091835022,1,1
12.669070959091187,1,1
12.669076919555664,0,2
12.669965028762817,0,2
12.670819997787476,0,2
12.67084813117981,0,2
12.67306900024414,0,2
12.673103094100952,0,2
21.77208399772644,1,1
21.7720890045166,1,1
21.772093057632446,0,2
21.773471117019653,0,2
21.774558067321777,0,2
21.774572134017944,0,2
21.775579929351807,0,2
21.778329133987427,0,2
31.803396940231323,1,1
31.803436040878296,1,1
31.803442001342773,0,2
31.804330110549927,0,2
31.805408000946045,0,2
31.805437088012695,0,2
31.806450128555298,0,2
