Time,Dst,Type
0.0,0,1
2.6941299438476562e-05,0,2
0.0013630390167236328,0,2
0.002501964569091797,0,3
0.014295816421508789,0,3
0.01606297492980957,0,4
0.05153203010559082,0,5
0.180405855178833,0,6
0.18416285514831543,0,6
0.20336103439331055,0,6
0.2072620391845703,0,6
11.458469867706299,1,1
11.458477020263672,0,2
11.535606861114502,1,1
11.535614967346191,1,1
11.535616874694824,0,2
11.536942958831787,1,1
11.536953926086426,0,2
11.556135892868042,1,1
11.55614686012268,1,1
11.556148052215576,0,2
11.557201862335205,1,1
11.557212829589844,0,2
