Time,Dst,Type
0.0,0,3
1.811981201171875e-05,0,3
0.005412101745605469,0,4
0.01203298568725586,0,5
0.018347978591918945,0,6
0.021112918853759766,0,6
0.022396087646484375,0,6
0.026741981506347656,0,6
0.0278470516204834,0,6
0.027864933013916016,0,6
0.02786993980407715,0,6
6.240303039550781,1,1
6.242404937744141,0,2
6.261821985244751,1,1
6.261831045150757,0,2
6.262893915176392,0,2
6.263897895812988,0,2
14.553980112075806,1,1
14.555973052978516,0,2
14.556880950927734,0,2
14.55690312385559,0,2
14.575393915176392,1,1
14.576163053512573,0,2
14.576186895370483,0,2
14.577652931213379,0,2
