Time,Dst,Type
0.0,0,1
1.9073486328125e-05,0,2
0.0011129379272460938,0,2
0.001132965087890625,0,3
0.0011379718780517578,0,2
0.0011429786682128906,0,3
0.0036029815673828125,0,4
0.011183977127075195,0,5
0.014707088470458984,0,6
0.059578895568847656,0,6
0.0613400936126709,0,6
0.06972908973693848,0,6
12.153187990188599,1,1
12.153218030929565,0,2
12.154684066772461,0,2
12.154711961746216,0,2
22.027610063552856,1,1
22.029175996780396,0,2
22.029190063476562,0,2
22.04847502708435,1,1
22.048500061035156,0,2
22.052315950393677,0,2
22.052321910858154,0,2
