Feature_Name,Importance_Score
Next_Packet_After_First_Stage,0.14952809516273954
First_Stage_Time_Diff,0.09639690024205845
Gap_23_Time,0.09241771252027402
Gap_23_Time_Ratio,0.06978470564763993
Type_3_Last_Time,0.06101837722282548
A_IAT_StdDev,0.05884323145443646
Type_6_Time_Ratio,0.05320183460722188
A_Silence_Total_Duration,0.045170218243840515
A_Silence_Avg_Duration,0.04098613953304699
Range_2,0.0409681317707187
Range_1,0.03912095398525971
Gap_34_Time_Ratio,0.03884045193933564
A_Silence_Max_Duration,0.03519682145058749
Gap_34_Time,0.0312058426285263
A_CV,0.028512365451275164
Probe_Time_Ratio,0.0264288523184643
Range_1_2,0.02632471285698768
A_Skewness,0.025995023430610054
A_IAT_Skew_Ratio,0.020743936542641745
A_Kurtosis,0.019315692991509807
