True_Label,Predicted_Label,Correct
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
HUAWEI-mate40pro,HUAWEI-mate30_3,False
HUAWEI-mate30_1,HUAWEI-mate40,False
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
OPPO-FINDX3PRO_1,OPPO-FINDX3PRO_1,True
OPPO-A36,OPPO-A36,True
HUAWEI-mate40,HUAWEI-mate40pro,False
XIAOMI-12,OPPO-FINDX3PRO_2,False
HUAWEI-MateBook,HUAWEI-MateBook,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
VIVO-X60_2,VIVO-X60_1,False
OPPO-AFindX3_1,OPPO-FINDX3PRO_2,False
HONOR-70_1,HONOR-70_1,True
XIAOMI-10MI5,XIAOMI-10Mi2,False
XIAOMI-12,XIAOMI-12,True
HUAWEI-MateBook,HUAWEI-MateBook,True
VIVO-X60_1,VIVO-X60_1,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
XIAOMI-10MI1,XIAOMI-10MI1,True
HONOR-70_2,HONOR-70_2,True
OPPO-FINDX3PRO_2,XIAOMI-10MI5,False
XIAOMI-10MI5,XIAOMI-10MI1,False
OPPO-FINDX3PRO_2,XIAOMI-10MI1,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HONOR-70_2,HONOR-70_2,True
HONOR-70_2,OPPO-FINDX3_2,False
HUAWEI-mate40,HUAWEI-mate40pro,False
OPPO-A36,OPPO-A36,True
HONOR-80,HONOR-70_1,False
XIAOMI-10MI3,XIAOMI-10MI3,True
XIAOMI-10Mi2,XIAOMI-10Mi2,True
OPPO-FINDX5_1,OPPO-FINDX5_1,True
VIVO-X60_1,VIVO-X60_2,False
XIAOMI-10MI1,OPPO-FINDX3PRO_2,False
OPPO-A36,HONOR-70_1,False
IQOO-Z9X,IQOO-Z9X,True
HONOR-80,HONOR-80,True
HUAWEI-mate30_3,HUAWEI-mate30_1,False
XIAOMI-12,XIAOMI-12,True
OPPO-FINDX3PRO_1,OPPO-FINDX3PRO_1,True
HUAWEI-PadSE,HUAWEI-PadSE,True
OPPO-FINDX5_1,OPPO-FINDX5_1,True
HUAWEI-mate30_3,HUAWEI-mate30_1,False
XIAOMI-12X,OPPO-FINDX5_2,False
HONOR-70_1,IQOO-Z9X,False
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HUAWEI-PadSE,HONOR-80,False
HUAWEI-mate40pro,HUAWEI-mate40pro,True
XIAOMI-10MI5,XIAOMI-10MI5,True
HUAWEI-mate40pro,HUAWEI-mate30_1,False
XIAOMI-13,XIAOMI-13,True
OPPO-FINDX3_2,OPPO-FINDX3PRO_2,False
IQOO-Z9X,IQOO-Z9X,True
HONOR-70_1,HONOR-70_1,True
HONOR-70_1,IQOO-Z9X,False
XIAOMI-10Mi2,XIAOMI-12X,False
XIAOMI-13,XIAOMI-13,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-seHUODONGBAN,HUAWEI-seHUODONGBAN,True
XIAOMI-12X,OPPO-FINDX5_2,False
HONOR-80,HONOR-70_2,False
HUAWEI-mate40pro,HUAWEI-mate40pro,True
OPPO-A36,OPPO-A36,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
VIVO-X60_1,VIVO-X60_1,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
XIAOMI-10MI5,XIAOMI-10MI1,False
OPPO-FINDX5_2,OPPO-FINDX3PRO_1,False
OPPO-A36,XIAOMI-10Mi2,False
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-A36,OPPO-A36,True
XIAOMI-10MI3,OPPO-FINDX3_2,False
HUAWEI-mate40pro,HUAWEI-mate40pro,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
HUAWEI-mate40pro,HUAWEI-mate30_3,False
XIAOMI-12,OPPO-FINDX3PRO_1,False
HUAWEI-PadSE,HUAWEI-PadSE,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-seHUODONGBAN,OPPO-A36,False
HUAWEI-mate30_1,HUAWEI-PadSE,False
HUAWEI-mate30_3,HUAWEI-mate30_3,True
HUAWEI-seHUODONGBAN,OPPO-A36,False
XIAOMI-12X,XIAOMI-12X,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
XIAOMI-10MI3,XIAOMI-10MI3,True
VIVO-X60_2,VIVO-X60_1,False
XIAOMI-10Mi2,XIAOMI-10Mi2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HONOR-70_1,OPPO-A36,False
XIAOMI-10MI5,XIAOMI-10MI1,False
HUAWEI-MateBook,HONOR-70_1,False
VIVO-X60_2,VIVO-X60_1,False
XIAOMI-12X,HONOR-70_1,False
HONOR-70_1,HONOR-70_1,True
IQOO-Z9X,IQOO-Z9X,True
XIAOMI-12,XIAOMI-12,True
XIAOMI-12,XIAOMI-12,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
IQOO-Z9X,IQOO-Z9X,True
VIVO-X60_2,VIVO-X60_1,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
HUAWEI-mate30_3,HUAWEI-mate30_3,True
OPPO-FINDX3_2,OPPO-FINDX3PRO_2,False
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
XIAOMI-10Mi2,XIAOMI-10Mi2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
HUAWEI-mate40,HUAWEI-mate40pro,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-MateBook,HUAWEI-MateBook,True
XIAOMI-12,XIAOMI-12,True
XIAOMI-13,XIAOMI-13,True
HUAWEI-seHUODONGBAN,HUAWEI-seHUODONGBAN,True
OPPO-FINDX5_1,OPPO-FINDX5_1,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
IQOO-Z9X,HONOR-70_1,False
HUAWEI-mate40,HUAWEI-mate40,True
VIVO-X60_1,VIVO-X60_1,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HONOR-70_1,HONOR-70_1,True
IQOO-Z9X,HUAWEI-MateBook,False
XIAOMI-10MI1,XIAOMI-10MI1,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-FINDX3PRO_1,OPPO-FINDX3PRO_1,True
XIAOMI-12,XIAOMI-12,True
HONOR-80,HONOR-80,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-A36,OPPO-A36,True
OPPO-FINDX3_2,OPPO-FINDX3PRO_2,False
OPPO-A36,OPPO-A36,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
XIAOMI-13,OPPO-FINDX3PRO_2,False
HONOR-80,HONOR-70_2,False
HUAWEI-PadSE,HUAWEI-PadSE,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
OPPO-FINDX3PRO_1,OPPO-FINDX5_2,False
HUAWEI-MateBook,XIAOMI-MI11Lite,False
HONOR-70_2,HONOR-70_1,False
XIAOMI-12X,XIAOMI-12X,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
HONOR-70_2,HONOR-70_2,True
HUAWEI-mate30_1,HUAWEI-PadSE,False
XIAOMI-13,XIAOMI-13,True
XIAOMI-10MI1,XIAOMI-MI11Lite,False
XIAOMI-10MI3,XIAOMI-10MI3,True
OPPO-AFindX3_1,OPPO-FINDX3_2,False
