True_Label,Predicted_Label,Correct
HUAWEI-mate50pro,HUAWEI-mate50pro,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
HONOR-70_1,HONOR-70_1,True
VIVO-X60_1,VIVO-X60_1,True
HUAWEI-mate30_3,HUAWEI-mate30_1,False
HONOR-70_1,HONOR-70_1,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
XIAOMI-10Mi2,XIAOMI-10Mi2,True
OPPO-FINDX5TianJi,OPPO-FINDX5TianJi,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HONOR-70_1,HONOR-70_1,True
HONOR-70_1,HONOR-70_1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
OPPO-FINDX5TianJi,VIVO-X80_2,False
HONOR-70Pro,HONOR-70Pro,True
VIVO-X80_2,VIVO-X80_2,True
VIVO-X80_2,VIVO-X80_2,True
IPAD-mini5_1,IPAD-mini5_1,True
IPAD-mini5_1,IPAD-mini5_1,True
HONOR-70_1,HONOR-70_1,True
VIVO-X80_2,VIVO-X80_2,True
HUAWEI-mate40,HUAWEI-mate30_3,False
IPAD-9_1,IPAD-9_1,True
HUAWEI-mate30_1,HONOR-70_1,False
HUAWEI-mate30_3,HONOR-70_1,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HONOR-70Pro,HONOR-70Pro,True
XIAOMI-10Mi2,XIAOMI-10Mi2,True
IPAD-9_1,IPAD-9_1,True
VIVO-X80_2,VIVO-X80_2,True
VIVO-X60_1,VIVO-X60_1,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
XIAOMI-10MI5,XIAOMI-10MI5,True
HONOR-70Pro,HONOR-70Pro,True
HUAWEI-mate30_3,HUAWEI-mate30_1,False
IPAD-mini5_1,IPAD-mini5_1,True
IPAD-9_1,IPAD-9_1,True
XIAOMI-10Mi2,XIAOMI-10Mi2,True
VIVO-X60_1,VIVO-X60_1,True
HONOR-70Pro,HONOR-70Pro,True
XIAOMI-10Mi2,XIAOMI-10Mi2,True
HONOR-70Pro,VIVO-X80_2,False
IPAD-mini5_1,IPAD-mini5_1,True
HUAWEI-mate30_3,HUAWEI-mate30_3,True
OPPO-FINDX5TianJi,VIVO-X80_2,False
IPAD-mini5_1,IPAD-mini5_1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-mate40,HUAWEI-mate30_1,False
IPAD-mini5_1,IPAD-mini5_1,True
HUAWEI-mate30_3,HUAWEI-mate30_1,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
VIVO-X60_1,VIVO-X60_1,True
IPAD-9_1,IPAD-9_1,True
OPPO-FINDX5TianJi,HONOR-70Pro,False
VIVO-X80_2,OPPO-FINDX5TianJi,False
HUAWEI-mate30_3,HUAWEI-mate40,False
IPAD-9_1,IPAD-9_1,True
IPAD-mini5_1,IPAD-mini5_1,True
IPAD-mini5_1,IPAD-mini5_1,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
IPAD-mini5_1,IPAD-mini5_1,True
IPAD-mini5_1,IPAD-mini5_1,True
HONOR-70_1,HONOR-70_1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HONOR-80_SE_2,HONOR-80_SE_2,True
HONOR-70_1,HONOR-70_1,True
HONOR-70_1,HONOR-70_1,True
XIAOMI-10MI5,XIAOMI-10MI5,True
XIAOMI-10Mi2,HONOR-70_1,False
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HONOR-70_1,HONOR-70_1,True
XIAOMI-10MI5,XIAOMI-10MI5,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
XIAOMI-10MI5,XIAOMI-10MI5,True
HUAWEI-mate50pro,HUAWEI-mate40,False
OPPO-FINDX5TianJi,OPPO-FINDX5TianJi,True
HUAWEI-mate40,HUAWEI-mate30_3,False
XIAOMI-10MI5,XIAOMI-10MI5,True
OPPO-FINDX5TianJi,OPPO-FINDX5TianJi,True
HONOR-80_SE_2,HONOR-80_SE_2,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HUAWEI-mate40,HUAWEI-mate40,True
HUAWEI-mate40,HUAWEI-mate30_3,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
VIVO-X60_1,VIVO-X60_1,True
XIAOMI-10MI5,XIAOMI-10MI5,True
HUAWEI-mate40,HUAWEI-mate30_1,False
IPAD-mini5_1,IPAD-mini5_1,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HONOR-80_SE_2,HONOR-80_SE_2,True
HONOR-70Pro,HONOR-70Pro,True
VIVO-X80_2,VIVO-X80_2,True
IPAD-9_1,IPAD-9_1,True
HONOR-80_SE_2,HONOR-70Pro,False
HONOR-70_1,HONOR-70_1,True
