Time,Dst,Type
0.0,0,1
1.0013580322265625e-05,0,2
0.0011479854583740234,0,2
0.0011529922485351562,0,3
0.014062881469726562,0,3
0.015523910522460938,0,4
0.05016493797302246,0,5
0.17097997665405273,0,6
0.18164801597595215,0,6
0.2014329433441162,0,6
0.2054429054260254,0,6
10.2778799533844,1,1
10.277889966964722,1,1
10.297914028167725,1,1
10.298933029174805,1,1
10.364996910095215,1,1
10.365001916885376,1,1
10.365005016326904,0,2
10.366529941558838,0,2
10.38531494140625,1,1
10.385319948196411,1,1
10.386420965194702,0,2
10.386430978775024,0,2
