Time,Dst,Type
0.0,0,1
0.0014719963073730469,0,2
0.0040090084075927734,0,2
0.006698131561279297,0,3
0.007661104202270508,0,3
0.019132137298583984,0,5
0.025504112243652344,0,6
0.025524139404296875,0,6
0.05645608901977539,0,6
0.06470298767089844,0,6
1.9053559303283691,1,1
1.9090540409088135,0,2
1.927617073059082,1,1
1.931678056716919,0,2
1.9317009449005127,0,2
10.96104097366333,1,1
10.961075067520142,0,2
10.962003946304321,0,2
10.981436967849731,1,1
10.984378099441528,0,2
21.022663116455078,1,1
21.024189949035645,0,2
21.024227142333984,0,2
21.025464057922363,0,2
21.04294490814209,1,1
21.04496192932129,0,2
21.04577398300171,0,2
31.00339412689209,1,1
31.004339933395386,0,2
31.007170915603638,0,2
31.02359700202942,1,1
31.023653984069824,0,2
31.025919914245605,0,2
