Time,Dst,Type
0.0,1,1
3.695487976074219e-05,0,2
0.0009961128234863281,0,2
0.0010180473327636719,0,2
0.01992511749267578,0,3
0.020951032638549805,0,3
0.022548913955688477,0,4
0.028084993362426758,0,5
0.035614013671875,0,6
0.04102611541748047,0,6
0.04263591766357422,0,6
0.04266500473022461,0,6
2.0953569412231445,1,1
2.096904993057251,0,2
2.0969350337982178,0,2
2.1520559787750244,0,2
2.15208101272583,0,2
2.154860019683838,0,2
2.463076114654541,1,1
2.4642701148986816,0,2
2.464285135269165,0,2
2.474334955215454,1,1
2.4757769107818604,0,2
2.4757919311523438,0,2
