Time,Dst,Type
0.0,0,1
9.059906005859375e-06,0,2
0.0009520053863525391,0,2
0.0054340362548828125,0,3
0.017413854598999023,0,3
0.02036905288696289,0,4
0.05604100227355957,0,5
0.17516589164733887,0,6
0.1888408660888672,0,6
0.20766997337341309,0,6
0.21165990829467773,0,6
1.2074840068817139,1,1
1.2086610794067383,1,1
1.2099699974060059,0,2
1.2881059646606445,1,1
1.2881150245666504,0,2
1.289438009262085,0,2
1.2894458770751953,1,1
1.3073759078979492,1,1
1.3091449737548828,0,2
1.3091530799865723,1,1
1.3091559410095215,0,2
11.724768877029419,0,2
11.747539043426514,0,2
11.91054391860962,1,1
11.91353702545166,0,2
11.913545846939087,0,2
11.928946018218994,1,1
11.930003881454468,0,2
11.93001103401184,0,2
11.933523893356323,1,1
21.761224031448364,0,2
21.779676914215088,0,2
21.94382095336914,1,1
21.944884061813354,0,2
21.945993900299072,0,2
21.948724031448364,1,1
21.963829040527344,1,1
21.96646285057068,0,2
21.967756986618042,0,2
21.967766046524048,1,1
31.97131586074829,1,1
31.97132706642151,0,2
31.97260594367981,0,2
31.976391077041626,1,1
31.98902201652527,1,1
31.990200996398926,0,2
31.991575002670288,0,2
41.92593193054199,0,2
41.947969913482666,0,2
42.077149868011475,1,1
42.07848501205444,0,2
42.078495025634766,0,2
42.083303928375244,1,1
42.0955650806427,1,1
42.09717297554016,0,2
42.09824800491333,0,2
51.95724391937256,1,1
51.96004796028137,1,1
51.961174964904785,0,2
51.97690486907959,1,1
51.97797703742981,1,1
52.105355978012085,1,1
52.10759091377258,1,1
52.10760307312012,0,2
52.10902285575867,0,2
52.124284982681274,1,1
52.12530708312988,0,2
52.12641406059265,0,2
52.12919092178345,1,1
62.00947284698486,0,2
62.15799307823181,1,1
62.15800404548645,0,2
62.15928292274475,0,2
62.16541385650635,1,1
62.1763699054718,1,1
62.17745304107666,0,2
62.178637981414795,0,2
62.18342590332031,1,1
72.03294706344604,1,1
72.03446388244629,1,1
72.03536605834961,0,2
72.05333805084229,1,1
72.05335092544556,1,1
72.06096696853638,0,2
72.20958685874939,1,1
72.20959186553955,0,2
72.21118402481079,1,1
72.22965097427368,1,1
72.23340201377869,1,1
72.23442792892456,0,2
72.23443293571472,0,2
82.05379986763,1,1
82.05693793296814,0,2
82.07764601707458,0,2
82.21099495887756,1,1
82.21245789527893,0,2
82.21246695518494,0,2
82.21902298927307,1,1
82.22860503196716,1,1
82.22960686683655,0,2
82.23108792304993,0,2
82.23451399803162,1,1
92.09539484977722,1,1
92.09639191627502,1,1
92.09793996810913,0,2
92.11577987670898,1,1
92.11693906784058,1,1
92.12638592720032,0,2
92.24923801422119,1,1
92.24925088882446,0,2
92.2502830028534,1,1
92.25028896331787,0,2
92.27128791809082,1,1
92.27227997779846,0,2
92.27339386940002,0,2
