Time,Dst,Type
0.0,1,1
2.9802322387695312e-05,0,2
0.0024089813232421875,0,2
0.01972794532775879,0,2
0.022556781768798828,0,2
0.022578954696655273,0,2
0.18810296058654785,0,1
0.18811798095703125,0,3
0.1881248950958252,0,2
0.18937277793884277,0,2
0.19063282012939453,0,2
0.1928539276123047,0,4
0.19980478286743164,0,5
0.21663880348205566,0,6
0.22035789489746094,0,6
0.2229747772216797,0,6
0.22406578063964844,0,6
1.0248558521270752,0,2
1.0258197784423828,0,2
9.99377179145813,0,2
9.99507999420166,0,2
9.996153831481934,0,2
19.994736909866333,1,1
29.978612899780273,1,1
29.979640007019043,0,2
29.980793952941895,0,2
