Label,A_Burst_Duration,A_Burst_Rate,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_Skew_Ratio,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Retran_intervals,A_Silence_Avg_Duration,A_Silence_Max_Duration,A_Silence_Rate,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Assoc_Time_Ratio,First_Stage_Time_Diff,Gap_23_Time,Gap_23_Time_Ratio,Gap_34_Time,Gap_34_Time_Ratio,Gap_45_Time,Gap_45_Time_Ratio,Next_Packet_After_First_Stage,Probe_Time,Probe_Time_Ratio,Trans_3_3,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_6_Time_Ratio,Range_1,Range_2,Range_1_2,DBSCAN_Cluster
OPPO-FINDX3PRO_2,0.0021979808807373,0.5454545454545454,2.2700941657890388,0.0035150051116943,0.0012760162353515,2.868175506600004e-05,0.0119810819625854,0.0310036301612853,0.0002604722976684,0.0037754774093627,8.389443198803892,0.0153864858154178,4.727542864406577,0.0067779064178466,0.0107104778289795,0.0500261783599853,0.0500261783599853,0.1,0.0500261783599853,2.55034290180166,0.007753849029541,0.1143988800011254,0.0677790641784668,7.867813110299954e-06,0.0001160802853456,0.0020971298217773,0.0309406724214341,0.007753849029541,0.1143988800011254,10.746639013290403,0.001007080078125,0.0148582765243452,1,1,0,0,1,1,0.0,0.0,3,3.2901763916015625e-05,0.001007080078125,2,0.0010149478912353,0.0021979808807373,1,0.0042951107025146,0.0042951107025146,1,0.0120489597320556,0.0120489597320556,3,0.0163838863372802,0.0677790641784668,0.0513951778411865,0.7582751173114409,0,2,0,-1
OPPO-FINDX5_1,0.0061359405517578,0.5555555555555556,1.2604751641471137,0.0076097846031189,0.0058056116104125,0.0006263494491577,0.0161541223526,0.0234741330146789,0.0013604164123535,0.0089702010154724,1.7825013860085162,0.0099867535632502,1.628127316483635,0.0079230070114135,0.0134476820627848,0.0307941436767577,0.0307941436767577,0.125,0.0307941436767577,1.654901309734825,0.0079071521759033,0.1247498608248195,0.0633840560913086,0.0037040710449218,0.0584385297082575,0.0015199184417725,0.0239795073950926,0.0079071521759033,0.1247498608248195,1.9616320133209229,3.0040740966796875e-05,0.0004739479108677,1,1,0,0,1,1,0.0,0.0,1,3.0040740966796875e-05,3.0040740966796875e-05,2,0.0037341117858886,0.0046160221099853,1,0.0061359405517578,0.0061359405517578,1,0.0140430927276611,0.0140430927276611,3,0.0239229202270507,0.0633840560913086,0.0394611358642578,0.6225719573296433,1,1,0,-1
OPPO-FINDX5_1,0.0058248043060302,0.5714285714285714,1.3113104807671514,0.0092915296554565,0.0055220127105712,0.0013344287872314,0.0249969959259033,0.0313234329223633,0.0019385814666747,0.0112301111221313,3.52679072578904,0.0139232487807221,0.5254204557326116,0.0106178124745686,0.0156902472178141,0.0376498699188233,0.0376498699188233,0.1666666666666666,0.0376498699188233,1.4383617779974278,-0.0058248043060302,-0.0914313301348012,0.0637068748474121,0.0011360645294189,0.0178326833978271,0.0031559467315673,0.0495385582659074,-0.0058248043060302,-0.0914313301348012,1.9711859226226809,0.0015327930450439,0.0240600884710665,0,0,1,0,0,0,0.0,0.0,2,0.0,0.0015327930450439,1,0.0026688575744628,0.0026688575744628,1,0.0058248043060302,0.0058248043060302,0,0.0,0.0,3,0.0181689262390136,0.0637068748474121,0.0455379486083984,0.7148043082864916,2,3,1,-1
OPPO-FINDX5_1,0.0032498836517332,0.7,1.4651003337345871,0.0037260055541993,0.0035572052001953,2.9325485229480044e-05,0.021713924407959,0.0270339012145996,0.0013389587402343,0.0050649642944336,5.104209115281534,0.0109836913280015,0.9486687452898392,0.0074968867831759,0.0078659534454345,0.0323538780212403,0.0323538780212403,0.1111111111111111,0.0323538780212403,1.5552253269720886,-0.009139060974121,-0.1354497204927231,0.0674719810485839,0.0041921138763427,0.0621311811390897,0.0035572052001953,0.0527212206446687,-0.009139060974121,-0.1354497204927231,1.915535926818848,0.0013709068298339,0.0203181647926828,1,0,1,0,0,1,0.0,0.0,2,0.0013389587402343,0.0013709068298339,2,0.0055630207061767,0.0055818557739257,1,0.009139060974121,0.009139060974121,0,0.0,0.0,4,0.0281929969787597,0.0674719810485839,0.0392789840698242,0.5821525240461068,1,4,1,-1
OPPO-FINDX5_1,0.0014758110046385,0.7142857142857143,1.9906173568912489,0.002747118473053,0.0017780065536499,3.933906555149977e-06,0.0203300714492798,0.0287650227546692,0.0003700256347656,0.0031171441078186,10.434193764666468,0.0146721849009355,1.1422305191982298,0.0073706706364949,0.0004919370015461,0.0371999740600586,0.0371999740600586,0.1666666666666666,0.0371999740600586,1.756949395425823,-0.0070240497589111,-0.1588288254290005,0.0442240238189697,0.0020880699157715,0.0472157378604665,0.003460168838501,0.0782418364431319,-0.0070240497589111,-0.1588288254290005,1.9291460514068604,0.001471996307373,0.033284992641072,1,0,1,0,0,0,0.0,0.0,3,0.0,0.001471996307373,2,0.0035600662231445,0.0035638809204101,1,0.0070240497589111,0.0070240497589111,0,0.0,0.0,1,0.0442240238189697,0.0442240238189697,0.0,0.0,2,3,0,-1
OPPO-FINDX5_1,0.0049920082092285,0.7,1.345528178711232,0.00677490234375,0.0026891231536865,0.0007743835449219,0.0153632164001464,0.0231475830078124,0.001471996307373,0.008246898651123,4.713095132547238,0.0096732992397776,2.2069752784339,0.007189220852322,0.0085397720336914,0.0309319496154785,0.0309319496154785,0.1111111111111111,0.0309319496154785,1.8272391357432185,0.0191321372985839,0.295691713586651,0.0647029876708984,0.0026891231536865,0.0415610352857939,-0.0076611042022705,-0.11840418005483,0.0191321372985839,0.295691713586651,1.9053559303283687,0.0040090084075927,0.0619601745128662,1,0,0,0,1,1,0.0,0.0,2,0.001471996307373,0.0040090084075927,2,0.0066981315612792,0.0076611042022705,0,0.0,0.0,1,0.0191321372985839,0.0191321372985839,4,0.0255041122436523,0.0647029876708984,0.039198875427246,0.6058279043716657,2,3,1,-1
OPPO-FINDX5_1,0.0034351348876953,0.5,1.392577825824035,0.0105220079421996,0.0040018558502197,0.0011298656463623,0.0257006645202636,0.0316749095916748,0.0011805295944214,0.011702537536621,5.4221864760203,0.013625622128008,0.5256152195973525,0.009784460067749,0.0148377418518066,0.037649154663086,0.037649154663086,0.1428571428571428,0.037649154663086,1.4189950173124648,0.0211701393127441,0.3090927445322042,0.0684912204742431,0.0011670589447022,0.0170395407852468,-0.0034351348876953,-0.0501543827648263,0.0211701393127441,0.3090927445322042,1.9330191612243648,0.0022680759429931,0.0331148419795794,0,0,0,0,1,1,0.0,0.0,2,0.0010740756988525,0.0022680759429931,1,0.0034351348876953,0.0034351348876953,0,0.0,0.0,1,0.0211701393127441,0.0211701393127441,3,0.0251719951629638,0.0684912204742431,0.0433192253112793,0.6324785134697664,1,0,0,-1
OPPO-FINDX5_1,0.002458095550537,0.6,1.3898850493197734,0.0046977996826172,0.0012459754943847,3.9196014404317e-05,0.0163586139678955,0.0198018550872802,0.0011820793151854,0.0058798789978027,12.129161882893747,0.0080150267007927,0.5088191485365412,0.0057666831546359,0.0064347386360168,0.023245096206665,0.023245096206665,0.1111111111111111,0.023245096206665,1.3840264737032584,0.0058798789978027,0.1132921423157308,0.0519001483917236,0.0011820793151854,0.022776029584031,0.0044341087341308,0.085435376805936,0.0058798789978027,0.1132921423157308,1.960982084274292,0.0013160705566406,0.025357741690975,1,1,0,0,1,1,0.0,0.0,3,2.813339233398437e-05,0.0013160705566406,2,0.0024981498718261,0.0037040710449218,1,0.0081381797790527,0.0081381797790527,1,0.0140180587768554,0.0140180587768554,2,0.0286550521850585,0.0519001483917236,0.023245096206665,0.4478811126168561,0,3,0,-1
OPPO-FINDX5_1,0.0101418495178222,0.5555555555555556,1.103876173899225,0.0062886476516723,0.0061510801315308,0.0012956619262694,0.016636300086975,0.0232960820198058,0.0031259655952453,0.0094146132469177,1.7046144305121989,0.0093888799219614,1.593205785869661,0.0085053741931915,0.0129419962565104,0.0299558639526366,0.0299558639526366,0.125,0.0299558639526366,1.6396672248853437,0.0089101791381836,0.1309492524343626,0.0680429935455322,0.004194974899292,0.0616518274800014,0.0036599636077881,0.0537889857144361,0.0089101791381836,0.1309492524343626,1.9283130168914795,0.0022869110107421,0.0336097942135919,0,1,0,0,1,1,0.0,0.0,2,0.0015239715576171,0.0022869110107421,1,0.0064818859100341,0.0064818859100341,1,0.0101418495178222,0.0101418495178222,1,0.0190520286560058,0.0190520286560058,3,0.0299799442291259,0.0680429935455322,0.0380630493164063,0.5593970419737003,1,4,1,-1
OPPO-FINDX3_2,0.0010383129119871,0.625,1.4451149137469368,0.0123153924942016,0.003201961517334,2.250671386715801e-05,0.0260591983795166,0.029573106765747,0.0005135536193847,0.0128289461135864,7.138510796723712,0.0130029750823549,-0.4227764639517506,0.0089978831154959,0.0113650957743326,0.0330870151519775,0.0330870151519775,0.1428571428571428,0.0330870151519775,1.114888739466528,-0.0085241794586181,-0.1353362682120826,0.0629851818084716,0.0042839050292969,0.0680144901752226,0.003201961517334,0.0508367432687688,-0.0085241794586181,-0.1353362682120826,9.347832202911375,0.0010271072387695,0.0163071250932128,1,0,1,0,0,1,0.0,0.0,2,3.0040740966796875e-05,0.0010271072387695,2,0.0053110122680664,0.0053222179412841,1,0.0085241794586181,0.0085241794586181,0,0.0,0.0,2,0.0298981666564941,0.0629851818084716,0.0330870151519775,0.5253142755480186,3,5,2,-1
