Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Last_Time,Gap_23_Time,Type_5_Last_Time,Type_3_Last_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,A_IAT_P10,Type_6_Time_Ratio,Gap_34_Time_Ratio,Gap_23_Time_Ratio,Type_6_Time,A_IAT_P95,A_IAT_StdDev,DBSCAN_Cluster
XIAOMI-10MI3,9.732083082199097,0.2925951480865478,0.2925951480865478,-0.0007481575012207,0.0,0.0063409805297851,0.0,0.0044679641723632,9.05990600590014e-06,0.3003398702609854,-0.0216715163298247,-0.0025569716590085,0.0878779888153075,0.1324081420898438,0.0603162391312126,-1
HUAWEI-mate40,1.0416650772094729,0.6494710445404053,0.6494710445404053,-0.0035429000854491,0.0278708934783935,0.0091180801391601,0.0127589702606201,0.0055420398712158,3.082752227781139e-05,0.2109839692608033,0.0056059313991995,-0.005455054717576,0.1370279788970947,0.3227777838706966,0.152250693477971,-1
VIVO-X70_PRO_1,9.377449035644531,0.4326939582824707,0.0384299755096435,0.0121400356292724,0.0240340232849121,0.0134868621826171,0.0,0.0134580135345458,2.810955047608827e-05,0.0213962586439651,-0.031169518141995,0.028056864203653,0.0092580318450927,0.0114232420921325,0.0043706665369356,-1
HUAWEI-mate40pro,11.322283029556274,0.3785748481750488,0.0414998531341552,-9.05990600579996e-06,0.0123560428619384,0.0023589134216308,0.0056140422821044,0.001011848449707,2.884864807130012e-05,0.0367425802559169,0.008598375925303,-2.393161101291854e-05,0.0139098167419432,0.0122359991073608,0.0048106469701972,-1
VIVO-X70_PRO_1,8.513443946838379,0.4874320030212402,0.0653119087219238,0.0131571292877197,0.0417349338531494,0.0237250328063964,0.0338339805603027,0.0155401229858398,3.290176391600001e-05,0.0227270281612844,0.0207391958083347,0.0269927481293147,0.011077880859375,0.0128281116485595,0.0047201406895848,-1
HUAWEI-MateBook,0.0,0.8131811618804932,0.8131811618804932,0.000831127166748,0.8044462203979492,0.7962250709533691,0.7970452308654785,0.7961981296539307,1.6236305236810855e-05,0.008046373663812,0.0010085820362743,0.001022068889085,0.0065431594848632,0.0816277384758,0.1650522331633831,-1
HUAWEI-MateBook,16.577518939971924,0.0246069431304931,16.619173049926758,-16.5787410736084,0.0,16.58036708831787,0.0037119388580322,0.0015759468078613,5.960464477599778e-06,674.5337228342506,-673.6576364464356,-673.7424061855088,16.598212957382202,0.0257678031921386,3.6114245329299743,-1
HUAWEI-mate40,1.1307330131530762,0.2618160247802734,0.2618160247802734,-0.0022199153900146,0.0162270069122314,0.0022258758544921,0.0070669651031494,0.0,5.960464477535161e-06,0.3805457611807646,0.0184904237726477,-0.0084789133586366,0.099632978439331,0.1211703896522521,0.0504378547971564,-1
HUAWEI-mate50pro,1.7652111053466797,0.2010631561279297,0.2010631561279297,-0.029304027557373,0.0725159645080566,0.0314860343933105,0.0448119640350341,0.0021560192108154,0.0001166820526123,0.128502822179007,0.0662773324479437,-0.14574538727885,0.0258371829986572,0.0618098378181457,0.0289362844725754,-1
IQOO-Z9X,10.57660698890686,0.0332908630371093,0.0332908630371093,1.907348632799924e-06,0.0104858875274658,0.0033318996429443,0.0046470165252685,0.00248384475708,2.6226043700999275e-06,0.1984000802108408,0.0395038386616243,5.729345708682299e-05,0.0066049098968506,0.0105014085769653,0.0045296040176956,0
IQOO-Z9X,10.548418998718262,0.0306251049041748,0.0306251049041748,9.536743164001784e-07,0.0107221603393554,0.0023579597473144,0.0041849613189697,0.0011401176452636,4.053115844699891e-06,0.1778966298432864,0.0596569898249146,3.114027917240453e-05,0.0054481029510498,0.0104960203170776,0.0042800893057803,0
VIVO-X60_1,9.535733938217165,0.0968630313873291,0.0968630313873291,-0.0012340545654296,0.0,0.0,0.0788710117340087,0.0,2.1934509277341365e-05,0.046746891868276,0.8142529776775707,-0.012740201785498,0.0045280456542969,0.0615937113761902,0.0305514495401929,0
IQOO-Z9X,10.63915205001831,0.0242371559143066,0.0242371559143066,1.907348632799924e-06,0.0108411312103271,0.0022211074829101,0.0036211013793945,0.0007860660552978,2.0980834960912345e-06,0.0795116960790088,0.0577623010486151,7.869523303574006e-05,0.0019271373748778,0.009769344329834,0.0039800103416471,0
IQOO-Z9X,0.0,0.0222959518432617,0.0222959518432617,9.536743163999616e-07,0.0093879699707031,0.0012028217315673,0.002579927444458,0.0012028217315673,8.034706115722027e-06,0.4556011805466461,0.0617648316865597,4.277342914553261e-05,0.0101580619812012,0.0067608356475829,0.0025567487323397,0
IQOO-Z9X,10.534443140029907,0.0284199714660644,0.0284199714660644,9.05990600590014e-06,0.0106260776519775,0.0021159648895263,0.0041060447692871,0.0021140575408935,9.05990600579996e-06,0.1928910588748505,0.0700239928860275,0.0003187865975417,0.0054819583892822,0.0094159841537475,0.0037286771856131,0
