Label,Next_Packet_After_First_Stage,Type_6_Last_Time,First_Stage_Time_Diff,Gap_23_Time,A_IAT_P95,A_IAT_StdDev,Type_5_First_Occurrence_Time,Type_3_Last_Time,A_Mean_IAT,A_IAT_IQR,Type_4_First_Occurrence_Time,Gap_23_Time_Ratio,Range_2,Type_6_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,Gap_34_Time,Gap_45_Time_Ratio,A_IAT_P90,Type_5_Last_Time
HONOR-70_1,5.603617906570435,0.2029309272766113,0.2029309272766113,0.0023519992828369,0.0772035121917725,0.0350769974168666,0.0540738105773925,0.0162389278411865,0.0184482661160555,0.0136244297027589,0.0189189910888671,0.0115901470239227,3,0.0296049118041991,0.0189189910888671,0.0042219161987304,0.0026800632476806,0.1732353957098246,0.0351548194885254,0.0540738105773925
HONOR-70_1,9.231966972351074,0.2005419731140136,0.2005419731140136,0.0027790069580078,0.0800293087959289,0.0356824938091499,0.052992820739746,0.0156619548797607,0.0200541973114013,0.0157465934753417,0.0178198814392089,0.0138574828743101,4,0.0308191776275633,0.0178198814392089,0.0038189888000488,0.0021579265594482,0.175389414766256,0.0433286428451537,0.052992820739746
HONOR-70_1,4.803907871246338,0.201427936553955,0.201427936553955,0.0023629665374756,0.0815109729766844,0.0365268998649892,0.0530438423156738,0.0149519443511962,0.0201427936553955,0.0147393345832824,0.0178868770599365,0.0117310765224596,7,0.028947114944458,0.0178868770599365,0.0034358501434326,0.0029349327087402,0.1745386755045275,0.0435849666595458,0.0530438423156738
HONOR-70_1,4.534456014633179,0.2076501846313476,0.2076501846313476,0.0021419525146484,0.0812256455421446,0.0361197888445999,0.0589871406555175,0.0143060684204101,0.0207650184631347,0.0147190690040589,0.0240020751953125,0.0103151967740896,2,0.0296041965484619,0.0240020751953125,0.0032260417938232,0.0096960067749024,0.1684807818606848,0.0433924436569212,0.0589871406555175
HONOR-70_1,5.778409004211426,0.2012319564819336,0.2012319564819336,0.0025980472564697,0.0814118146896361,0.0365742274049277,0.0528531074523925,0.0157580375671386,0.0201231956481933,0.0144744515419006,0.0182781219482421,0.0129107091233938,5,0.0286459922790527,0.0182781219482421,0.0039460659027099,0.0025200843811035,0.1718165748055752,0.0430907726287841,0.0528531074523925
HONOR-70_1,8.583173036575317,0.2026319503784179,0.2026319503784179,0.0138289928436279,0.0906666994094848,0.0398905863652589,0.0528359413146972,0.0155630111694335,0.0253289937973022,0.0197709798812867,0.0,0.0682468525708905,8,0.0303788185119629,0.0,0.0155630111694335,-0.0155630111694335,0.2607483233321565,0.0619162082672119,0.0528359413146972
HONOR-70_1,4.36447811126709,0.2011151313781738,0.2011151313781738,0.0022931098937988,0.0766265392303467,0.0347219113085735,0.0544910430908203,0.0160930156707763,0.0182831937616521,0.0127763748168945,0.0195450782775878,0.0114019759631455,6,0.0283169746398926,0.0195450782775878,0.003688097000122,0.0034520626068114,0.1737609923915702,0.0349459648132325,0.0544910430908203
HONOR-70_1,4.601876974105835,0.2017698287963867,0.2017698287963867,0.0015590190887451,0.0824710249900816,0.0370744848983541,0.0533599853515625,0.0154390335083007,0.0201769828796386,0.0157462358474731,0.0178258419036865,0.0077267205807978,5,0.0275359153747558,0.0178258419036865,0.0030620098114013,0.0023868083953857,0.1761122743665248,0.0440681219100952,0.0533599853515625
HONOR-70_1,4.482576847076416,0.2002718448638916,0.2002718448638916,0.0010910034179687,0.0861485004425048,0.0384052042898848,0.0513279438018798,0.014056921005249,0.022252427207099,0.0168819427490234,0.0164110660552978,0.0054476125623662,5,0.0286409854888916,0.0164110660552978,0.0021369457244873,0.0023541450500488,0.1743474114911766,0.0519940853118896,0.0513279438018798
HONOR-70_2,5.8335020542144775,0.0333118438720703,0.0333118438720703,0.002018928527832,0.0094727039337158,0.0036240348979463,0.0126099586486816,0.0040249824523925,0.003331184387207,0.0040721297264099,0.0068180561065673,0.0606069281419973,6,0.0101339817047119,0.0068180561065673,0.0039968490600585,0.0027930736541748,0.1738691669052404,0.0083775043487548,0.0126099586486816
HONOR-70_2,5.764261960983276,0.0428950786590576,0.0428950786590576,-0.0012190341949463,0.0126667976379394,0.005240322441907,0.0119750499725341,0.0015690326690673,0.0042895078659057,0.0045498013496398,0.0057649612426757,-0.0284189756273798,5,0.0133321285247803,0.0057649612426757,0.0015640258789062,0.0041959285736084,0.1447739210182587,0.0077456951141357,0.0119750499725341
HONOR-70_2,5.729249000549316,0.0317299365997314,0.0317299365997314,0.001511812210083,0.008226203918457,0.0033413746742817,0.0125598907470703,0.002810001373291,0.0031729936599731,0.0055091381072998,0.005760908126831,0.0476462411240934,5,0.0101001262664794,0.005760908126831,0.0027837753295898,0.00295090675354,0.2142765901491544,0.0073824882507324,0.0125598907470703
HONOR-70_2,5.735748052597046,0.047382116317749,0.047382116317749,0.0043449401855469,0.0118839263916015,0.0043536793350142,0.015916109085083,0.0064761638641357,0.0036447781782883,0.0049769878387451,0.0090830326080322,0.0917000025159137,5,0.0204620361328125,0.0090830326080322,0.0051629543304443,0.0026068687438965,0.1442121417968656,0.0101697921752929,0.015916109085083
HONOR-70_2,5.742671966552734,0.0355260372161865,0.0355260372161865,0.0021488666534424,0.0078649520874023,0.002914646861429,0.0121738910675048,0.0032939910888671,0.0039473374684651,0.0045173168182372,0.005479097366333,0.0604870912104805,6,0.014707088470459,0.005479097366333,0.0032539367675781,0.0021851062774659,0.1884475225996074,0.0070848464965819,0.0121738910675048
