True_Label,Predicted_Cluster
VIVO-X70_PRO_1,0
VIVO-X70_PRO_1,0
VIVO-X70_PRO_1,0
VIVO-X70_PRO_1,0
XIAOMI-10MI1,-1
XIAOMI-10MI1,19
XIAOMI-10MI1,17
XIAOMI-10MI1,22
XIAOMI-10MI1,17
XIAOMI-10MI1,19
XIAOMI-10MI1,7
XIAOMI-10MI1,12
XIAOMI-10MI1,19
XIAOMI-10MI1,-1
XIAOMI-10MI1,-1
XIAOMI-10Mi2,20
XIAOMI-10Mi2,11
XIAOMI-10Mi2,12
XIAOMI-10Mi2,12
XIAOMI-10Mi2,11
XIAOMI-10Mi2,12
XIAOMI-10Mi2,20
XIAOMI-10Mi2,20
XIAOMI-10Mi2,11
XIAOMI-10Mi2,8
XIAOMI-10MI3,20
XIAOMI-10MI3,20
XIAOMI-10MI3,20
XIAOMI-10MI3,20
XIAOMI-10MI3,11
XIAOMI-10MI3,7
XIAOMI-10MI3,20
XIAOMI-10MI3,4
XIAOMI-10MI3,12
XIAOMI-10MI3,12
XIAOMI-10MI3,12
XIAOMI-10MI3,7
XIAOMI-12,1
XIAOMI-12,7
XIAOMI-12,17
XIAOMI-12,7
XIAOMI-12,-1
XIAOMI-12,7
XIAOMI-12,7
XIAOMI-12,18
XIAOMI-12,7
XIAOMI-12,7
XIAOMI-12,7
XIAOMI-12,16
XIAOMI-12,7
XIAOMI-12,7
XIAOMI-12,20
XIAOMI-12,7
XIAOMI-12,17
XIAOMI-12,7
XIAOMI-12,18
XIAOMI-12,10
XIAOMI-12X,11
XIAOMI-12X,10
XIAOMI-12X,14
XIAOMI-12X,14
XIAOMI-12X,14
XIAOMI-12X,10
XIAOMI-12X,8
XIAOMI-12X,13
XIAOMI-12X,10
XIAOMI-12X,13
XIAOMI-12X,13
XIAOMI-12X,10
XIAOMI-12X,13
XIAOMI-12X,13
XIAOMI-12X,8
XIAOMI-13,-1
XIAOMI-13,17
XIAOMI-13,17
XIAOMI-13,17
XIAOMI-13,17
XIAOMI-13,18
XIAOMI-13,7
XIAOMI-13,19
XIAOMI-13,18
XIAOMI-13,17
XIAOMI-13,19
XIAOMI-13,17
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,6
XIAOMI-MI11Lite,7
XIAOMI-MI11Lite,6
