Time,Dst,Type
0.0,0,1
2.5033950805664062e-05,0,2
0.0008318424224853516,0,2
0.0008568763732910156,0,2
0.0038039684295654297,0,3
0.0038290023803710938,0,3
0.005360841751098633,0,4
0.012303829193115234,0,5
0.025734901428222656,0,6
0.030064821243286133,0,6
0.03248786926269531,0,6
0.035234928131103516,0,6
1.9020259380340576,1,1
1.9020538330078125,0,2
1.9030368328094482,0,2
1.9030530452728271,0,2
1.9214539527893066,1,1
1.9227509498596191,0,2
1.9227838516235352,0,2
1.9242470264434814,0,2
12.747448921203613,1,1
12.747473955154419,0,2
12.74839186668396,0,2
12.74842095375061,0,2
12.767884016036987,1,1
12.767910957336426,0,2
12.768736839294434,0,2
12.77000093460083,0,2
