Time,Dst,Type
0.0,0,1
1.1920928955078125e-05,0,1
0.0013408660888671875,0,1
0.00662684440612793,0,2
0.007925033569335938,0,2
0.00797891616821289,0,2
0.08147692680358887,0,3
0.08149600028991699,0,3
0.10120797157287598,0,6
0.10122799873352051,0,6
0.10611104965209961,0,6
0.10871505737304688,0,6
9.328191995620728,1,1
9.329946994781494,0,2
9.331446886062622,0,2
9.342586994171143,0,2
9.343873977661133,0,2
9.344842910766602,0,2
12.538647890090942,1,1
12.538686990737915,0,2
12.539337873458862,0,2
12.539362907409668,0,2
12.552183866500854,1,1
