Time,Dst,Type
0.0,0,3
0.0015358924865722656,0,3
0.00539088249206543,0,4
0.011473894119262695,0,5
0.026237964630126953,0,6
0.02951788902282715,0,6
0.030972003936767578,0,6
0.03353691101074219,0,6
9.352717876434326,1,1
9.35274887084961,0,2
9.353724956512451,0,2
9.355057001113892,0,2
9.366559028625488,1,1
9.366590976715088,0,2
9.367554903030396,0,2
9.368588924407959,0,2
13.191479921340942,1,1
13.191515922546387,0,2
13.192543029785156,0,2
13.192585945129395,0,2
13.204596042633057,1,1
13.204632043838501,0,2
13.205853939056396,0,2
13.205887079238892,0,2
19.35875701904297,1,1
19.35878896713257,0,2
19.35962200164795,0,2
19.373122930526733,1,1
26.504514932632446,1,1
26.504546880722046,0,2
26.505351066589355,0,2
26.506600856781006,0,2
