Time,Dst,Type
0.0,0,1
2.5987625122070312e-05,0,2
0.0019989013671875,0,2
0.07692885398864746,0,3
0.09188389778137207,0,4
0.1085658073425293,0,5
0.22863197326660156,0,6
0.23243999481201172,0,6
0.2512938976287842,0,6
0.25337696075439453,0,6
9.389251947402954,1,1
9.389281988143921,1,1
9.38928484916687,0,2
9.390090942382812,0,2
9.403505802154541,1,1
9.403534889221191,1,1
9.403536796569824,0,2
9.405075788497925,0,2
12.605638980865479,1,1
12.605647802352905,0,2
12.606935977935791,0,2
12.618939876556396,1,1
12.618948936462402,0,2
12.620643854141235,0,2
