Time,Dst,Type
0.0,0,1
1.9073486328125e-05,0,2
0.0011761188507080078,0,2
0.001196146011352539,0,2
0.010196208953857422,0,3
0.010221004486083984,0,3
0.028181076049804688,0,4
0.04378318786621094,0,6
0.06623411178588867,0,6
0.06798100471496582,0,6
0.07610321044921875,0,6
0.07963919639587402,0,6
10.924792051315308,1,1
10.924817085266113,0,2
10.925711154937744,0,2
10.925726175308228,0,2
10.944122076034546,1,1
10.944147109985352,0,2
10.945592164993286,0,2
10.94561505317688,0,2
20.947331190109253,1,1
20.947357177734375,0,2
20.94837498664856,0,2
20.948400020599365,0,2
20.966203212738037,1,1
20.966230154037476,0,2
20.96700119972229,0,2
20.9682559967041,0,2
